# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5598e-01 7.1129e-07 4.9567e-07
9.6928e-01 -7.5011e-08 4.6483e-07
9.8291e-01 5.5787e-07 4.4633e-07
9.9687e-01 5.1104e-07 4.3942e-07
1.0112e+00 1.5530e-06 4.4033e-07
1.0258e+00 1.5473e-06 4.3351e-07
1.0407e+00 2.2492e-06 4.3557e-07
1.0560e+00 2.6998e-06 4.2088e-07
1.0716e+00 2.4831e-06 4.0312e-07
1.0876e+00 1.6975e-06 3.7842e-07
1.1038e+00 4.3966e-07 3.8158e-07
1.1203e+00 -1.4252e-07 3.6925e-07
1.1372e+00 3.9327e-07 3.6197e-07
1.1543e+00 -2.8414e-07 3.5829e-07
1.1718e+00 -3.2771e-07 3.6051e-07
1.1894e+00 -4.4400e-08 3.5166e-07
1.2074e+00 7.2739e-07 3.5913e-07
1.2256e+00 1.3304e-06 3.6227e-07
1.2440e+00 3.1332e-06 3.6701e-07
1.2626e+00 4.5920e-06 3.8186e-07
1.2814e+00 3.3487e-06 3.6326e-07
1.3004e+00 1.6185e-06 3.6918e-07
1.3196e+00 1.9798e-07 3.7025e-07
1.3389e+00 4.9298e-07 3.7569e-07
1.3584e+00 1.7203e-07 3.9798e-07
1.3780e+00 -2.6780e-07 3.8450e-07
1.3976e+00 1.0510e-07 4.1113e-07
1.4174e+00 1.0022e-07 4.2804e-07
1.4373e+00 -7.0887e-07 4.1678e-07
1.4572e+00 -6.9652e-07 4.2579e-07
1.4772e+00 1.3294e-07 4.3977e-07
1.4972e+00 8.6446e-07 4.5575e-07
1.5172e+00 8.1923e-07 4.6720e-07
1.5372e+00 1.4165e-06 4.8250e-07
1.5573e+00 3.1214e-06 5.0189e-07
1.5773e+00 3.3106e-06 5.1568e-07
1.5973e+00 3.6593e-06 5.2366e-07
1.6173e+00 1.8464e-06 5.2044e-07
1.6373e+00 1.1190e-06 5.2923e-07
1.6572e+00 9.6381e-07 5.7919e-07
1.6757e+00 3.8230e-07 5.6550e-07
1.6955e+00 -4.8016e-07 5.7293e-07
1.7153e+00 -2.6060e-07 5.7211e-07
1.7350e+00 4.8494e-07 6.8327e-07
1.7546e+00 3.8104e-07 6.1123e-07
1.7741e+00 1.9612e-08 6.1895e-07
1.7936e+00 -8.3779e-07 6.2745e-07
1.8130e+00 3.1369e-07 6.3645e-07
1.8323e+00 6.0554e-07 6.3718e-07
1.8515e+00 2.0776e-06 6.4733e-07
1.8706e+00 2.9975e-07 6.4471e-07
1.8896e+00 1.1030e-06 6.5437e-07
1.9085e+00 8.0472e-07 6.7396e-07
