# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1268e+00 1.6357e-05 2.7858e-06
3.1395e+00 1.0669e-05 2.8235e-06
3.1521e+00 1.0657e-05 2.8240e-06
3.1647e+00 5.0669e-06 2.7591e-06
3.1773e+00 3.7427e-06 2.8929e-06
3.1898e+00 3.7834e-06 2.8562e-06
3.2023e+00 2.0666e-06 2.8458e-06
3.2147e+00 -1.2529e-06 2.8186e-06
3.2270e+00 -1.4754e-06 2.8745e-06
3.2394e+00 1.8383e-06 2.9386e-06
3.2516e+00 1.0975e-06 2.9515e-06
3.2639e+00 3.6448e-06 2.9329e-06
3.2761e+00 4.9130e-06 2.8936e-06
3.2882e+00 8.8866e-06 2.9837e-06
3.3003e+00 6.6532e-06 3.0286e-06
3.3123e+00 2.9121e-06 3.0590e-06
3.3244e+00 -1.5357e-06 3.1010e-06
3.3363e+00 4.9038e-06 3.1559e-06
3.3483e+00 4.1959e-06 3.0578e-06
3.3601e+00 5.9127e-06 3.1386e-06
3.3720e+00 5.6863e-06 3.2704e-06
3.3838e+00 9.5155e-07 3.1881e-06
3.3955e+00 2.6783e-06 3.2340e-06
3.4073e+00 8.2710e-06 3.3778e-06
3.4189e+00 7.8738e-06 3.3647e-06
3.4306e+00 -1.6119e-06 3.4680e-06
3.4422e+00 2.1492e-06 3.3117e-06
3.4537e+00 4.4947e-06 3.3591e-06
3.4653e+00 5.9830e-06 3.3216e-06
3.4768e+00 5.0029e-06 3.3721e-06
3.4882e+00 5.0995e-06 3.3543e-06
3.4996e+00 1.5246e-06 3.4797e-06
3.5110e+00 7.1606e-06 3.5029e-06
3.5223e+00 1.2207e-05 3.5185e-06
3.5336e+00 1.4173e-05 3.5384e-06
3.5449e+00 1.2591e-05 3.5566e-06
3.5561e+00 1.1811e-05 3.8926e-06
3.5673e+00 1.3697e-05 3.8358e-06
3.5784e+00 1.5439e-05 3.6080e-06
3.5896e+00 1.5312e-05 3.6833e-06
3.6007e+00 1.6446e-05 3.7865e-06
3.6117e+00 2.0440e-05 3.8858e-06
3.6227e+00 3.1448e-05 3.8273e-06
3.6337e+00 3.6929e-05 3.8844e-06
3.6447e+00 4.0779e-05 3.8710e-06
3.6556e+00 5.3337e-05 4.0149e-06
3.6664e+00 5.1430e-05 4.1782e-06
3.6773e+00 5.2005e-05 4.1681e-06
3.6881e+00 5.7733e-05 4.0738e-06
3.6989e+00 6.4804e-05 4.3103e-06
3.7097e+00 5.9350e-05 4.3273e-06
3.7204e+00 6.4195e-05 4.3503e-06
3.7311e+00 6.9812e-05 4.4218e-06
3.7417e+00 7.8930e-05 4.4403e-06
3.7523e+00 1.0180e-04 4.6441e-06
3.7629e+00 1.0768e-04 4.7095e-06
3.7735e+00 8.2439e-05 4.5367e-06
3.7840e+00 8.5661e-05 4.6424e-06
3.7946e+00 9.2693e-05 4.6940e-06
3.8050e+00 1.1319e-04 4.7475e-06
3.8155e+00 1.3724e-04 5.0489e-06
3.8259e+00 1.6001e-04 5.1632e-06
3.8363e+00 1.4929e-04 5.1093e-06
3.8466e+00 1.0439e-04 4.7568e-06
3.8570e+00 1.1318e-04 4.8633e-06
3.8673e+00 1.3174e-04 5.0992e-06
3.8775e+00 1.4577e-04 5.1256e-06
3.8878e+00 1.5295e-04 5.3023e-06
3.8980e+00 1.5510e-04 5.2810e-06
3.9082e+00 1.6517e-04 5.4027e-06
3.9184e+00 1.7935e-04 5.4968e-06
3.9285e+00 1.9319e-04 5.6212e-06
3.9386e+00 2.0293e-04 5.6745e-06
3.9487e+00 2.0482e-04 5.6694e-06
3.9587e+00 2.1813e-04 5.8098e-06
3.9688e+00 2.2496e-04 6.0444e-06
3.9788e+00 2.1601e-04 6.0591e-06
3.9887e+00 2.4346e-04 6.0531e-06
3.9987e+00 2.6152e-04 6.2107e-06
4.0086e+00 2.5059e-04 6.1865e-06
4.0185e+00 2.6259e-04 6.2155e-06
4.0284e+00 2.7788e-04 6.4370e-06
4.0382e+00 2.6303e-04 6.3719e-06
4.0480e+00 2.8451e-04 6.4505e-06
4.0578e+00 3.0975e-04 6.6194e-06
4.0676e+00 3.2318e-04 6.6164e-06
4.0774e+00 3.1686e-04 6.7091e-06
4.0871e+00 3.2940e-04 6.9791e-06
4.0968e+00 3.3164e-04 7.0696e-06
4.1065e+00 3.2132e-04 7.0149e-06
4.1161e+00 3.0393e-04 6.9425e-06
4.1257e+00 3.4567e-04 7.0630e-06
