# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1245e+00 3.1262e-06 4.1847e-07
3.1373e+00 2.1153e-06 4.3188e-07
3.1500e+00 1.4618e-06 4.4500e-07
3.1626e+00 1.1604e-06 4.3358e-07
3.1752e+00 5.4016e-07 4.4963e-07
3.1877e+00 2.8431e-07 4.2521e-07
3.2002e+00 1.2910e-07 4.4150e-07
3.2127e+00 4.6877e-07 4.5878e-07
3.2251e+00 4.0107e-07 4.8928e-07
3.2374e+00 -2.5667e-07 4.6623e-07
3.2498e+00 -9.5499e-08 4.8706e-07
3.2620e+00 -4.5236e-07 4.7325e-07
3.2742e+00 1.9010e-07 4.7527e-07
3.2864e+00 1.1284e-06 4.5540e-07
3.2985e+00 -1.8819e-07 4.8302e-07
3.3106e+00 -7.1298e-08 4.8596e-07
3.3227e+00 2.2251e-07 4.7841e-07
3.3347e+00 -1.7495e-07 4.7740e-07
3.3466e+00 4.5888e-07 4.9484e-07
3.3586e+00 3.8416e-07 4.8800e-07
3.3704e+00 3.9055e-08 5.2164e-07
3.3823e+00 5.0690e-07 5.2355e-07
3.3941e+00 1.0301e-06 5.2163e-07
3.4058e+00 4.3799e-07 5.1283e-07
3.4175e+00 1.0982e-08 5.1549e-07
3.4292e+00 2.7738e-07 4.9999e-07
3.4408e+00 1.2737e-06 5.2804e-07
3.4524e+00 1.1714e-06 5.3478e-07
3.4640e+00 5.7328e-07 5.3934e-07
3.4755e+00 9.5856e-07 5.4411e-07
3.4870e+00 2.2001e-06 5.3572e-07
3.4984e+00 2.5492e-06 5.4018e-07
3.5098e+00 2.2808e-06 5.6893e-07
3.5212e+00 2.2577e-06 5.6258e-07
3.5325e+00 1.1288e-06 5.4799e-07
3.5438e+00 1.4656e-06 5.4930e-07
3.5551e+00 2.2510e-06 5.8235e-07
3.5663e+00 2.2263e-06 5.7910e-07
3.5775e+00 2.3472e-06 5.5511e-07
3.5886e+00 8.9684e-07 5.9606e-07
3.5997e+00 1.4920e-06 5.9178e-07
3.6108e+00 2.0567e-06 6.0172e-07
3.6219e+00 4.2728e-06 6.0337e-07
3.6329e+00 4.4735e-06 6.4034e-07
3.6439e+00 5.4562e-06 6.2305e-07
3.6548e+00 7.5188e-06 5.9375e-07
3.6657e+00 7.6284e-06 6.6422e-07
3.6766e+00 7.9625e-06 6.3061e-07
3.6874e+00 9.3080e-06 6.8546e-07
3.6982e+00 8.6874e-06 6.5478e-07
3.7090e+00 7.6458e-06 6.4159e-07
3.7198e+00 9.2373e-06 6.7922e-07
3.7305e+00 9.4407e-06 7.3289e-07
3.7412e+00 1.1145e-05 7.2955e-07
3.7518e+00 1.2836e-05 7.4125e-07
3.7625e+00 1.7256e-05 7.2380e-07
3.7731e+00 1.3795e-05 7.1589e-07
3.7836e+00 1.1546e-05 7.1981e-07
3.7942e+00 1.3449e-05 7.3317e-07
3.8047e+00 2.1980e-05 8.5243e-07
3.8151e+00 2.6895e-05 9.0718e-07
3.8256e+00 3.4790e-05 8.9692e-07
3.8360e+00 3.1418e-05 8.9421e-07
3.8464e+00 1.7350e-05 7.9001e-07
3.8567e+00 1.6804e-05 8.3074e-07
3.8671e+00 2.2084e-05 8.5740e-07
3.8774e+00 2.4330e-05 8.4311e-07
3.8876e+00 2.5842e-05 8.7359e-07
3.8979e+00 2.6216e-05 8.7912e-07
3.9081e+00 2.9944e-05 8.8484e-07
3.9183e+00 3.3928e-05 9.4029e-07
3.9285e+00 3.6269e-05 9.7242e-07
3.9386e+00 4.0128e-05 9.4282e-07
3.9487e+00 4.1809e-05 1.0138e-06
3.9588e+00 4.3960e-05 1.0491e-06
3.9688e+00 4.8533e-05 1.0812e-06
3.9789e+00 4.4769e-05 1.0574e-06
3.9889e+00 5.2982e-05 1.1064e-06
3.9988e+00 5.6193e-05 1.1330e-06
4.0088e+00 5.2582e-05 1.1838e-06
4.0187e+00 6.1059e-05 1.2068e-06
4.0286e+00 6.6795e-05 1.2486e-06
4.0385e+00 6.2218e-05 1.2361e-06
4.0483e+00 6.3150e-05 1.2015e-06
4.0582e+00 7.2259e-05 1.2900e-06
4.0680e+00 7.8905e-05 1.4223e-06
4.0777e+00 8.0198e-05 1.3873e-06
4.0875e+00 8.6787e-05 1.4083e-06
4.0972e+00 9.0232e-05 1.4546e-06
4.1069e+00 9.2049e-05 1.4584e-06
4.1166e+00 8.8126e-05 1.4097e-06
4.1262e+00 1.0214e-04 1.5330e-06
4.1359e+00 1.1167e-04 1.5883e-06
4.1455e+00 9.7713e-05 1.4771e-06
4.1551e+00 8.9587e-05 1.4097e-06
4.1646e+00 1.0619e-04 1.5770e-06
4.1742e+00 1.2500e-04 1.7052e-06
4.1837e+00 1.1155e-04 1.5746e-06
4.1932e+00 7.9729e-05 1.4094e-06
4.2026e+00 6.3334e-05 1.3243e-06
4.2121e+00 5.2452e-05 1.1955e-06
4.2215e+00 3.9305e-05 1.1513e-06
4.2309e+00 3.0012e-05 1.1080e-06
4.2403e+00 3.5858e-05 1.1467e-06
4.2496e+00 4.3012e-05 1.2409e-06
4.2590e+00 4.5910e-05 1.2915e-06
4.2683e+00 4.5026e-05 1.2703e-06
4.2776e+00 4.6963e-05 1.2175e-06
4.2869e+00 5.0135e-05 1.2169e-06
4.2961e+00 5.0590e-05 1.2711e-06
4.3053e+00 4.3812e-05 1.2236e-06
4.3146e+00 4.8792e-05 1.2715e-06
4.3237e+00 6.1432e-05 1.3641e-06
4.3329e+00 6.4373e-05 1.4502e-06
4.3421e+00 6.8410e-05 1.4133e-06
4.3512e+00 7.3538e-05 1.4919e-06
4.3603e+00 8.7180e-05 1.5785e-06
4.3694e+00 1.0181e-04 1.7341e-06
4.3784e+00 1.1437e-04 1.7381e-06
4.3875e+00 1.0128e-04 1.6214e-06
4.3965e+00 9.0106e-05 1.5803e-06
4.4055e+00 1.1307e-04 1.7424e-06
4.4145e+00 1.3833e-04 1.9385e-06
4.4235e+00 1.1864e-04 1.8574e-06
4.4324e+00 8.6947e-05 1.6296e-06
4.4414e+00 8.9115e-05 1.6296e-06
4.4503e+00 9.1727e-05 1.6265e-06
4.4592e+00 8.4950e-05 1.5867e-06
4.4680e+00 7.6362e-05 1.4813e-06
4.4769e+00 6.8247e-05 1.4750e-06
4.4857e+00 6.2106e-05 1.4963e-06
4.4945e+00 5.7506e-05 1.5121e-06
4.5033e+00 5.1250e-05 1.4036e-06
4.5121e+00 4.5763e-05 1.4495e-06
4.5209e+00 3.6513e-05 1.3253e-06
4.5296e+00 3.1490e-05 1.3332e-06
4.5384e+00 3.0215e-05 1.3576e-06
4.5471e+00 2.7730e-05 1.2729e-06
4.5558e+00 2.4488e-05 1.1833e-06
4.5644e+00 2.5007e-05 1.3002e-06
4.5731e+00 2.3602e-05 1.1990e-06
4.5817e+00 1.9586e-05 1.2099e-06
4.5903e+00 2.0621e-05 1.2518e-06
4.5989e+00 2.2228e-05 1.3144e-06
4.6075e+00 2.3143e-05 1.2913e-06
4.6161e+00 2.0819e-05 1.3401e-06
4.6246e+00 2.3513e-05 1.3149e-06
4.6332e+00 2.7280e-05 1.4339e-06
4.6417e+00 3.3004e-05 1.4491e-06
4.6502e+00 3.7208e-05 1.4348e-06
4.6587e+00 5.1037e-05 1.5733e-06
4.6671e+00 6.6620e-05 1.8015e-06
4.6756e+00 4.9656e-05 1.6729e-06
4.6840e+00 4.0305e-05 1.5178e-06
4.6924e+00 4.4395e-05 1.4791e-06
4.7008e+00 3.8480e-05 1.4273e-06
4.7092e+00 3.0926e-05 1.3299e-06
4.7176e+00 2.8089e-05 1.3437e-06
4.7259e+00 2.7216e-05 1.2905e-06
4.7343e+00 2.3797e-05 1.4453e-06
4.7426e+00 3.0229e-05 1.4798e-06
4.7509e+00 3.4232e-05 1.5110e-06
4.7592e+00 3.2318e-05 1.5284e-06
4.7675e+00 3.3050e-05 1.5199e-06
4.7757e+00 3.1725e-05 1.4211e-06
4.7840e+00 3.0426e-05 1.4117e-06
4.7922e+00 3.1709e-05 1.4995e-06
4.8004e+00 4.1076e-05 1.6082e-06
4.8086e+00 4.5047e-05 1.6701e-06
4.8168e+00 4.3096e-05 1.6811e-06
4.8249e+00 5.1708e-05 1.7155e-06
4.8331e+00 5.0720e-05 1.7054e-06
4.8412e+00 3.8865e-05 1.5626e-06
4.8494e+00 4.5258e-05 1.5633e-06
4.8575e+00 5.8043e-05 1.8816e-06
4.8656e+00 6.4977e-05 1.9277e-06
4.8736e+00 6.5945e-05 1.9924e-06
4.8817e+00 6.8059e-05 1.8815e-06
4.8897e+00 5.9527e-05 1.9376e-06
4.8978e+00 5.3832e-05 1.8519e-06
4.9058e+00 6.0376e-05 1.8889e-06
4.9138e+00 7.6549e-05 2.0069e-06
4.9218e+00 8.6699e-05 2.2415e-06
4.9298e+00 8.0382e-05 1.9590e-06
4.9377e+00 6.2483e-05 1.9461e-06
4.9457e+00 5.4131e-05 1.8405e-06
4.9536e+00 4.2948e-05 1.8441e-06
4.9615e+00 4.5319e-05 1.7302e-06
4.9694e+00 7.0010e-05 1.9716e-06
4.9773e+00 7.9238e-05 1.9999e-06
4.9852e+00 8.5206e-05 2.1709e-06
4.9931e+00 9.2781e-05 2.1343e-06
5.0009e+00 9.1349e-05 2.1431e-06
5.0088e+00 7.9211e-05 2.1219e-06
5.0166e+00 5.1408e-05 1.8208e-06
5.0244e+00 3.2094e-05 1.7260e-06
5.0322e+00 5.1244e-05 1.9771e-06
5.0400e+00 7.3539e-05 2.1587e-06
5.0478e+00 8.8893e-05 2.2947e-06
5.0555e+00 1.0215e-04 2.2648e-06
5.0633e+00 1.0747e-04 2.3569e-06
5.0710e+00 9.7121e-05 2.3509e-06
5.0787e+00 6.7630e-05 2.0977e-06
5.0864e+00 5.0991e-05 1.9624e-06
5.0941e+00 6.4308e-05 1.9933e-06
5.1018e+00 7.3634e-05 2.4172e-06
5.1095e+00 6.1044e-05 2.1769e-06
5.1171e+00 6.7043e-05 2.0988e-06
5.1248e+00 8.4383e-05 2.3089e-06
5.1324e+00 6.2669e-05 2.1909e-06
5.1400e+00 3.5599e-05 2.1100e-06
5.1476e+00 1.8921e-05 1.9394e-06
5.1552e+00 3.3056e-05 1.9308e-06
5.1628e+00 5.2898e-05 2.1783e-06
5.1704e+00 5.3185e-05 2.3122e-06
5.1779e+00 5.6956e-05 2.2594e-06
5.1855e+00 6.4487e-05 2.3103e-06
5.2073e+00 4.4826e-05 1.2146e-07
5.2694e+00 3.9774e-05 1.1290e-07
5.3305e+00 3.4859e-05 1.0865e-07
5.3903e+00 2.7316e-05 1.0168e-07
5.4489e+00 1.9786e-05 1.0674e-07
5.5066e+00 1.3453e-05 1.1551e-07
5.5634e+00 1.1353e-05 1.1527e-07
5.6193e+00 8.2191e-06 1.2176e-07
5.6743e+00 7.2921e-06 1.1411e-07
5.7285e+00 6.0051e-06 1.0754e-07
5.7819e+00 6.5340e-06 1.1014e-07
5.8345e+00 5.9881e-06 1.1522e-07
5.8863e+00 4.8645e-06 1.3580e-07
5.9373e+00 4.7570e-06 1.3760e-07
5.9877e+00 6.1263e-06 1.4378e-07
6.0373e+00 6.3264e-06 1.3215e-07
6.0863e+00 6.7970e-06 1.3388e-07
6.1345e+00 7.3478e-06 1.2159e-07
6.1822e+00 1.1199e-05 1.3203e-07
6.2294e+00 1.5821e-05 1.3274e-07
6.2758e+00 1.9568e-05 1.4941e-07
6.3217e+00 1.6453e-05 1.5114e-07
6.3671e+00 9.9556e-06 1.6368e-07
6.4120e+00 6.5638e-06 1.5459e-07
6.4563e+00 5.4987e-06 1.4823e-07
6.5002e+00 5.4807e-06 1.4208e-07
6.5437e+00 5.7945e-06 1.4251e-07
6.5867e+00 6.0550e-06 1.5458e-07
6.6292e+00 6.5380e-06 1.6556e-07
6.6715e+00 8.3673e-06 1.6246e-07
6.7134e+00 1.0689e-05 1.6309e-07
6.7549e+00 1.1846e-05 1.6645e-07
6.7961e+00 1.1046e-05 1.6565e-07
6.8369e+00 1.1570e-05 1.6740e-07
6.8774e+00 1.2868e-05 1.7978e-07
6.9176e+00 1.4250e-05 1.8815e-07
6.9575e+00 1.6377e-05 1.8843e-07
6.9969e+00 1.5620e-05 1.8692e-07
7.0362e+00 1.6631e-05 1.7571e-07
7.0750e+00 1.8053e-05 2.0176e-07
7.1137e+00 1.8431e-05 1.9968e-07
7.1519e+00 1.6617e-05 2.0073e-07
7.1899e+00 1.4756e-05 1.8837e-07
7.2277e+00 1.3320e-05 1.9547e-07
7.2650e+00 1.1881e-05 1.9780e-07
7.3022e+00 9.6319e-06 2.1773e-07
7.3389e+00 8.5905e-06 2.2329e-07
7.3755e+00 6.3653e-06 2.1191e-07
7.4119e+00 7.1685e-06 2.1915e-07
7.4478e+00 6.8780e-06 2.0523e-07
7.4836e+00 7.8971e-06 2.2945e-07
7.5191e+00 9.6530e-06 2.5119e-07
7.5543e+00 1.1485e-05 2.2369e-07
7.5893e+00 1.2239e-05 2.1230e-07
7.6240e+00 1.1331e-05 2.0461e-07
7.6585e+00 6.8072e-06 2.0668e-07
7.6928e+00 6.1028e-06 2.2102e-07
7.7268e+00 6.5337e-06 2.3901e-07
7.7605e+00 8.0385e-06 2.3917e-07
7.7941e+00 8.4336e-06 2.4277e-07
7.8275e+00 9.2553e-06 2.3786e-07
7.8605e+00 9.0762e-06 2.4070e-07
7.8935e+00 8.8083e-06 2.6193e-07
7.9262e+00 9.7650e-06 2.6487e-07
7.9588e+00 1.0448e-05 2.6732e-07
7.9911e+00 1.3626e-05 2.5975e-07
8.0231e+00 1.3089e-05 2.6508e-07
8.0551e+00 1.4448e-05 2.7240e-07
8.0869e+00 1.7941e-05 2.7763e-07
8.1184e+00 2.2207e-05 2.8442e-07
8.1497e+00 2.1750e-05 2.9608e-07
8.1810e+00 2.3824e-05 2.8062e-07
8.2120e+00 2.6085e-05 2.9960e-07
8.2429e+00 3.1318e-05 3.1598e-07
8.2737e+00 3.5333e-05 2.8644e-07
8.3043e+00 3.6231e-05 3.2294e-07
8.3346e+00 3.8516e-05 3.0935e-07
8.3649e+00 3.9860e-05 3.1748e-07
8.3951e+00 4.5743e-05 3.3971e-07
8.4251e+00 5.0219e-05 3.3589e-07
8.4550e+00 4.9418e-05 3.5471e-07
8.4847e+00 5.1466e-05 3.7404e-07
8.5143e+00 5.5228e-05 3.3349e-07
8.5437e+00 6.1929e-05 3.4076e-07
8.5730e+00 7.0213e-05 3.4200e-07
8.6022e+00 6.8832e-05 3.7637e-07
8.6312e+00 6.9038e-05 3.8529e-07
8.6602e+00 6.6927e-05 4.5354e-07
8.6890e+00 7.5234e-05 4.5420e-07
8.7176e+00 7.5288e-05 4.2426e-07
8.7462e+00 7.5781e-05 4.0433e-07
8.7746e+00 6.9445e-05 3.9730e-07
8.8029e+00 7.2191e-05 3.9254e-07
8.8310e+00 8.1071e-05 3.9320e-07
8.8590e+00 8.1849e-05 3.8552e-07
8.8869e+00 8.3537e-05 3.6578e-07
8.9146e+00 7.6630e-05 3.7740e-07
8.9423e+00 7.0772e-05 3.9298e-07
8.9698e+00 6.9061e-05 4.5420e-07
8.9972e+00 7.1504e-05 4.6404e-07
9.0245e+00 7.7385e-05 4.6526e-07
9.0517e+00 7.4429e-05 4.9553e-07
9.0787e+00 7.5835e-05 4.8186e-07
9.1057e+00 7.2458e-05 4.3552e-07
9.1325e+00 7.2686e-05 4.4424e-07
9.1592e+00 7.0698e-05 4.3847e-07
9.1858e+00 7.1955e-05 4.7446e-07
9.2122e+00 7.7447e-05 4.6855e-07
9.2386e+00 8.3001e-05 4.5461e-07
9.2648e+00 7.9720e-05 4.6957e-07
9.2909e+00 7.1615e-05 4.6971e-07
9.3169e+00 6.6668e-05 4.8595e-07
9.3428e+00 6.8979e-05 5.1343e-07
9.3686e+00 7.7923e-05 4.9762e-07
9.3943e+00 8.4559e-05 5.1858e-07
9.4199e+00 9.4306e-05 5.0610e-07
9.4454e+00 8.6263e-05 4.9746e-07
9.4707e+00 7.6551e-05 5.1850e-07
9.4960e+00 6.9358e-05 5.3320e-07
9.5211e+00 6.9161e-05 5.4801e-07
9.5462e+00 8.0628e-05 5.1771e-07
9.5711e+00 9.2561e-05 5.2693e-07
9.5960e+00 1.0102e-04 5.7332e-07
9.6207e+00 9.8012e-05 6.2614e-07
9.6455e+00 8.6597e-05 6.0116e-07
9.6700e+00 7.4912e-05 5.5151e-07
9.6945e+00 7.0034e-05 5.7087e-07
9.7188e+00 7.9503e-05 5.8408e-07
9.7431e+00 9.1801e-05 6.0025e-07
9.7672e+00 1.0423e-04 5.6793e-07
9.7913e+00 1.2288e-04 5.7430e-07
9.8152e+00 1.1441e-04 5.9411e-07
9.8391e+00 1.0745e-04 5.6596e-07
9.8629e+00 8.9436e-05 5.5246e-07
9.8866e+00 7.4107e-05 5.6921e-07
9.9102e+00 8.2896e-05 5.9623e-07
9.9338e+00 1.0475e-04 6.2786e-07
9.9572e+00 1.3329e-04 5.9875e-07
9.9805e+00 1.4548e-04 6.6167e-07
1.0004e+01 1.4760e-04 6.6414e-07
1.0027e+01 1.2312e-04 7.0393e-07
1.0050e+01 1.1172e-04 6.7237e-07
1.0073e+01 9.7999e-05 7.3078e-07
1.0096e+01 1.0395e-04 7.6571e-07
1.0118e+01 1.2290e-04 7.5369e-07
1.0141e+01 1.3342e-04 7.6958e-07
1.0164e+01 1.6530e-04 8.3633e-07
1.0187e+01 1.7667e-04 7.6748e-07
1.0209e+01 1.6119e-04 7.5660e-07
1.0232e+01 1.4975e-04 7.6195e-07
1.0254e+01 1.2828e-04 7.7917e-07
1.0277e+01 1.0573e-04 7.4894e-07
1.0299e+01 7.9510e-05 8.1596e-07
1.0321e+01 5.2146e-05 7.4544e-07
1.0343e+01 3.4023e-05 7.7106e-07
1.0365e+01 2.4876e-05 7.3507e-07
1.0386e+01 2.6718e-05 7.6943e-07
1.0408e+01 3.5646e-05 8.1785e-07
1.0430e+01 4.3796e-05 7.9659e-07
1.0452e+01 5.0112e-05 7.8977e-07
1.0473e+01 4.9058e-05 8.7477e-07
1.0495e+01 5.2721e-05 9.0592e-07
1.0517e+01 5.4077e-05 9.8950e-07
1.0538e+01 5.8572e-05 1.0359e-06
1.0560e+01 6.7126e-05 1.0368e-06
1.0581e+01 7.2784e-05 9.2156e-07
1.0602e+01 7.9266e-05 9.5213e-07
1.0624e+01 7.9218e-05 9.9473e-07
1.0644e+01 6.5438e-05 1.0353e-06
1.0665e+01 5.7616e-05 9.4639e-07
1.0686e+01 4.0238e-05 9.8727e-07
1.0707e+01 2.5648e-05 9.6578e-07
1.0728e+01 1.7568e-05 1.0443e-06
1.0749e+01 2.2871e-05 9.5787e-07
1.0770e+01 4.2343e-05 1.0360e-06
1.0790e+01 4.1181e-05 1.0800e-06
1.0811e+01 4.8542e-05 1.0303e-06
1.0832e+01 5.5723e-05 1.1049e-06
1.0852e+01 5.7027e-05 1.1356e-06
1.0873e+01 6.2459e-05 1.2826e-06
1.0893e+01 6.8565e-05 1.3970e-06
1.0913e+01 7.2676e-05 1.2867e-06
1.0933e+01 7.1044e-05 1.2634e-06
1.0954e+01 7.6759e-05 1.4164e-06
1.0974e+01 8.1915e-05 1.3917e-06
1.0994e+01 7.5203e-05 1.3676e-06
1.1014e+01 7.8704e-05 1.3314e-06
1.1035e+01 9.3019e-05 1.2911e-06
1.1055e+01 1.0527e-04 1.3387e-06
1.1075e+01 1.1602e-04 1.4448e-06
1.1095e+01 1.2784e-04 1.4888e-06
1.1115e+01 1.3176e-04 1.4659e-06
1.1134e+01 1.3440e-04 1.4846e-06
1.1154e+01 1.3113e-04 1.5064e-06
1.1173e+01 1.1520e-04 1.5310e-06
1.1193e+01 1.0206e-04 1.6304e-06
1.1212e+01 1.0135e-04 1.6666e-06
1.1232e+01 8.5986e-05 1.6446e-06
1.1252e+01 8.8338e-05 1.5666e-06
1.1271e+01 9.5912e-05 1.7228e-06
1.1291e+01 1.2799e-04 1.7688e-06
1.1310e+01 1.4125e-04 1.9586e-06
1.1329e+01 1.4596e-04 1.9192e-06
1.1349e+01 1.3489e-04 1.8578e-06
