# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5137e-01 -1.2805e-06 8.9123e-07
9.6456e-01 -1.0086e-06 8.7965e-07
9.7810e-01 -1.6081e-07 8.6000e-07
9.9196e-01 -1.3191e-06 8.3575e-07
1.0061e+00 -1.8503e-06 8.0520e-07
1.0207e+00 -3.9344e-07 8.0790e-07
1.0355e+00 1.0472e-06 7.8473e-07
1.0507e+00 5.1576e-07 7.6689e-07
1.0662e+00 2.0113e-07 7.3575e-07
1.0821e+00 2.9695e-08 7.4969e-07
1.0982e+00 -1.5203e-06 7.1747e-07
1.1136e+00 -1.0525e-06 6.9846e-07
1.1303e+00 -1.0269e-06 6.7089e-07
1.1473e+00 -1.3301e-06 6.6855e-07
1.1647e+00 -1.5864e-06 6.6464e-07
1.1823e+00 -8.2061e-07 6.6853e-07
1.2001e+00 7.2381e-07 6.8030e-07
1.2182e+00 -5.2924e-07 6.5005e-07
1.2366e+00 -8.1926e-07 6.5973e-07
1.2551e+00 1.0760e-06 6.6363e-07
1.2739e+00 1.6345e-06 6.8213e-07
1.2929e+00 -1.6514e-07 6.7303e-07
1.3120e+00 -1.8778e-06 6.7713e-07
1.3313e+00 -9.9339e-07 7.2199e-07
1.3507e+00 -1.7431e-06 6.9214e-07
1.3703e+00 -1.4902e-06 7.5269e-07
1.3899e+00 -6.1724e-07 7.5296e-07
1.4097e+00 -1.7986e-06 7.5166e-07
1.4296e+00 -1.9630e-06 7.6823e-07
1.4495e+00 -1.2196e-06 7.8254e-07
1.4695e+00 5.8024e-07 8.4997e-07
1.4895e+00 1.2968e-06 8.4937e-07
1.5095e+00 4.9732e-07 8.5211e-07
1.5296e+00 -4.2602e-07 8.6634e-07
1.5496e+00 -2.4721e-07 9.1375e-07
1.5697e+00 2.1420e-06 9.5728e-07
1.5898e+00 7.5898e-07 9.4126e-07
1.6098e+00 -9.9518e-07 9.9249e-07
1.6298e+00 -3.9461e-07 1.0304e-06
1.6497e+00 2.1176e-06 1.0991e-06
1.6696e+00 1.9967e-08 1.0620e-06
1.6895e+00 -1.8793e-06 1.0560e-06
1.7093e+00 -9.0447e-07 1.0727e-06
1.7290e+00 -1.7229e-06 1.0992e-06
1.7487e+00 1.6323e-07 1.1128e-06
1.7683e+00 -1.1278e-07 1.1619e-06
1.7878e+00 -7.7828e-07 1.1485e-06
1.8072e+00 -6.8569e-08 1.1823e-06
1.8266e+00 -2.2890e-06 1.2023e-06
1.8458e+00 -1.3678e-06 1.1964e-06
1.8650e+00 -7.7173e-07 1.2567e-06
1.8840e+00 1.4674e-06 1.3324e-06
1.9030e+00 -1.6018e-06 1.3099e-06
1.9219e+00 -5.7707e-07 1.2896e-06
1.9407e+00 -6.0978e-07 1.3269e-06
1.9594e+00 -1.9205e-06 1.3329e-06
1.9779e+00 -2.4796e-06 1.3090e-06
1.9964e+00 -5.7365e-07 1.3484e-06
2.0148e+00 4.9268e-07 1.3685e-06
2.0331e+00 1.9394e-06 1.3844e-06
2.0513e+00 8.0454e-07 1.3866e-06
2.0694e+00 1.5097e-06 1.4213e-06
2.0873e+00 2.2576e-06 1.4850e-06
2.1052e+00 6.3533e-07 1.4835e-06
2.1230e+00 -6.4951e-07 1.5158e-06
2.1407e+00 -1.2586e-07 1.5186e-06
2.1582e+00 2.0915e-06 1.5376e-06
2.1757e+00 2.1251e-07 1.5250e-06
2.1931e+00 -3.8422e-06 1.5785e-06
2.2104e+00 5.9549e-07 1.6131e-06
2.2276e+00 -1.0897e-06 1.6850e-06
2.2447e+00 -2.0071e-06 1.5916e-06
2.2616e+00 -2.5445e-06 1.6199e-06
2.2785e+00 -3.4128e-06 1.6612e-06
2.2953e+00 -6.6548e-07 1.6389e-06
2.3120e+00 -6.5168e-07 1.6544e-06
2.3286e+00 -1.7516e-06 1.6619e-06
2.3452e+00 -1.1339e-06 1.7177e-06
2.3616e+00 -1.1530e-06 1.7243e-06
2.3779e+00 -1.1796e-06 1.7162e-06
2.3942e+00 9.9590e-07 1.7352e-06
2.4103e+00 3.3822e-06 1.7633e-06
2.4264e+00 2.1294e-07 1.8554e-06
2.4424e+00 -1.5505e-06 1.7941e-06
2.4583e+00 1.1252e-06 1.7519e-06
2.4741e+00 -7.3726e-08 1.7706e-06
2.4898e+00 3.8300e-07 1.7768e-06
2.5055e+00 1.2713e-06 1.8667e-06
2.5211e+00 -1.1747e-07 1.7724e-06
2.5365e+00 -4.9859e-07 1.7709e-06
2.5520e+00 -4.9722e-07 1.8791e-06
2.5673e+00 1.4188e-08 1.8486e-06
2.5825e+00 -1.4013e-06 1.8518e-06
2.5977e+00 -2.0401e-06 1.8553e-06
2.6128e+00 -3.2386e-06 1.8715e-06
2.6278e+00 -3.2718e-06 1.9343e-06
2.6427e+00 -6.9106e-07 1.9834e-06
2.6576e+00 -1.7585e-06 1.9525e-06
2.6724e+00 4.0581e-07 1.9893e-06
2.6871e+00 1.9334e-06 1.9761e-06
2.7018e+00 8.3105e-07 2.0241e-06
2.7164e+00 -6.7090e-08 2.0819e-06
2.7309e+00 -1.4808e-06 2.0903e-06
2.7453e+00 -2.7304e-06 2.1014e-06
2.7597e+00 1.2255e-06 2.1328e-06
2.7740e+00 1.0156e-06 2.1693e-06
2.7882e+00 8.3668e-07 2.2286e-06
2.8024e+00 2.1439e-06 2.2438e-06
2.8165e+00 -8.4977e-07 2.2620e-06
2.8306e+00 -1.5087e-06 2.2175e-06
2.8445e+00 -1.0127e-06 2.2948e-06
2.8584e+00 9.8425e-07 2.4543e-06
2.8723e+00 -1.5614e-06 2.4481e-06
2.8861e+00 -2.1791e-07 2.3936e-06
2.8989e+00 3.8287e-06 2.4387e-06
2.9126e+00 1.8662e-06 2.4543e-06
2.9262e+00 1.9742e-06 2.4727e-06
2.9397e+00 3.8084e-06 2.4907e-06
2.9532e+00 4.3362e-06 2.4911e-06
2.9667e+00 6.9498e-06 2.4953e-06
2.9801e+00 6.7013e-06 2.5065e-06
2.9934e+00 3.8485e-06 2.6642e-06
3.0067e+00 -2.0735e-07 2.6584e-06
3.0199e+00 4.3826e-06 2.5827e-06
3.0330e+00 6.2747e-06 2.5323e-06
3.0461e+00 7.5354e-06 2.5567e-06
3.0592e+00 1.4013e-05 2.6185e-06
3.0722e+00 1.0042e-05 2.5751e-06
3.0851e+00 7.1524e-06 2.6744e-06
3.0980e+00 1.1934e-05 2.7039e-06
3.1109e+00 3.6993e-06 2.6716e-06
3.1237e+00 1.6357e-07 2.6122e-06
3.1364e+00 3.3683e-06 2.7108e-06
3.1491e+00 1.0918e-06 2.6899e-06
3.1617e+00 1.0228e-06 2.7794e-06
3.1743e+00 2.2866e-06 2.8649e-06
3.1869e+00 -3.1771e-06 2.8359e-06
3.1994e+00 -3.3396e-06 2.7659e-06
3.2118e+00 4.7753e-07 2.8063e-06
