# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1354e+00 5.6305e-05 3.8203e-06
3.1481e+00 3.7900e-05 3.8093e-06
3.1607e+00 2.7271e-05 3.7283e-06
3.1733e+00 1.8944e-05 3.6741e-06
3.1858e+00 1.0965e-05 3.7878e-06
3.1983e+00 5.6122e-06 3.7582e-06
3.2107e+00 9.6294e-06 3.7424e-06
3.2231e+00 1.2505e-05 3.7665e-06
3.2355e+00 1.2290e-05 3.8242e-06
3.2478e+00 1.3971e-05 3.8880e-06
3.2600e+00 1.7626e-05 4.0150e-06
3.2722e+00 1.8582e-05 3.9403e-06
3.2844e+00 2.6336e-05 3.9476e-06
3.2965e+00 2.8723e-05 4.0321e-06
3.3086e+00 1.5505e-05 3.9783e-06
3.3206e+00 6.6890e-06 4.0277e-06
3.3326e+00 4.0333e-06 4.0717e-06
3.3445e+00 1.3683e-05 4.2292e-06
3.3564e+00 1.8022e-05 4.1135e-06
3.3683e+00 1.1964e-05 4.2561e-06
3.3801e+00 1.6541e-05 4.3219e-06
3.3919e+00 2.0573e-05 4.2786e-06
3.4036e+00 1.7067e-05 4.2037e-06
3.4153e+00 1.3102e-05 4.3395e-06
3.4269e+00 1.7687e-05 4.2480e-06
3.4386e+00 2.4375e-05 4.3691e-06
3.4501e+00 1.9404e-05 4.3921e-06
3.4617e+00 2.2208e-05 4.5080e-06
3.4732e+00 1.9070e-05 4.4860e-06
3.4846e+00 2.1672e-05 4.5380e-06
3.4961e+00 3.1378e-05 4.5225e-06
3.5074e+00 4.6674e-05 4.6593e-06
3.5188e+00 4.9671e-05 4.8373e-06
3.5301e+00 4.0009e-05 4.8719e-06
3.5414e+00 5.3151e-05 4.8486e-06
3.5526e+00 5.7272e-05 4.8962e-06
3.5638e+00 7.3728e-05 5.2350e-06
3.5750e+00 7.6585e-05 5.2185e-06
3.5861e+00 7.0329e-05 5.1211e-06
3.5972e+00 7.4077e-05 5.2828e-06
3.6083e+00 7.6932e-05 5.3658e-06
3.6193e+00 1.0270e-04 5.5679e-06
3.6303e+00 1.3028e-04 5.6719e-06
3.6413e+00 1.4366e-04 5.8032e-06
3.6522e+00 1.7049e-04 5.8898e-06
3.6631e+00 1.9902e-04 5.9809e-06
3.6740e+00 2.1666e-04 6.1618e-06
3.6848e+00 2.1403e-04 6.2033e-06
3.6956e+00 2.2092e-04 6.2694e-06
3.7063e+00 2.3430e-04 6.4005e-06
3.7171e+00 2.3882e-04 6.5896e-06
3.7278e+00 2.4414e-04 6.5399e-06
3.7385e+00 2.7209e-04 6.6888e-06
3.7491e+00 3.1983e-04 6.9903e-06
3.7597e+00 3.3757e-04 7.1184e-06
3.7703e+00 3.0003e-04 7.0154e-06
3.7808e+00 2.7911e-04 6.8704e-06
3.7913e+00 3.1225e-04 7.1039e-06
3.8018e+00 3.8843e-04 7.3688e-06
3.8123e+00 4.6408e-04 7.8253e-06
3.8227e+00 5.3873e-04 8.3454e-06
3.8331e+00 4.9375e-04 8.2831e-06
3.8435e+00 3.6247e-04 7.7200e-06
3.8538e+00 3.8489e-04 7.6857e-06
3.8641e+00 4.3802e-04 8.0229e-06
3.8744e+00 4.6295e-04 8.0776e-06
3.8847e+00 4.8490e-04 8.2095e-06
3.8949e+00 5.1170e-04 8.5303e-06
3.9051e+00 5.2915e-04 8.6388e-06
3.9153e+00 5.6319e-04 8.7526e-06
3.9254e+00 5.9143e-04 8.8943e-06
3.9355e+00 6.5217e-04 9.0837e-06
3.9456e+00 6.7023e-04 9.0892e-06
3.9557e+00 6.7043e-04 9.2352e-06
3.9657e+00 6.9757e-04 9.4237e-06
3.9757e+00 6.8623e-04 9.5573e-06
3.9857e+00 7.7105e-04 9.9808e-06
3.9957e+00 8.0670e-04 1.0157e-05
4.0056e+00 7.8221e-04 1.0069e-05
4.0155e+00 8.6662e-04 1.0453e-05
4.0254e+00 8.7868e-04 1.0437e-05
4.0353e+00 8.7911e-04 1.0716e-05
4.0451e+00 9.0894e-04 1.0918e-05
4.0549e+00 9.7370e-04 1.1115e-05
4.0647e+00 1.0333e-03 1.1314e-05
4.0744e+00 1.0094e-03 1.1242e-05
4.0842e+00 1.1212e-03 1.1793e-05
4.0939e+00 1.1363e-03 1.1978e-05
4.1036e+00 1.1092e-03 1.2031e-05
4.1132e+00 1.0788e-03 1.1990e-05
4.1229e+00 1.1777e-03 1.2292e-05
4.1325e+00 1.2267e-03 1.2472e-05
4.1421e+00 1.1379e-03 1.2333e-05
4.1516e+00 1.0872e-03 1.2324e-05
4.1612e+00 1.1506e-03 1.2503e-05
4.1707e+00 1.2210e-03 1.2749e-05
4.1802e+00 1.1483e-03 1.2454e-05
4.1897e+00 1.0404e-03 1.2037e-05
4.1991e+00 1.0790e-03 1.2352e-05
4.2086e+00 1.0584e-03 1.2473e-05
4.2180e+00 9.0097e-04 1.1815e-05
4.2274e+00 8.3801e-04 1.1479e-05
4.2367e+00 9.1645e-04 1.1810e-05
4.2461e+00 9.6283e-04 1.1974e-05
4.2554e+00 9.9565e-04 1.2129e-05
4.2647e+00 9.5825e-04 1.1974e-05
4.2740e+00 9.7522e-04 1.2271e-05
4.2832e+00 1.0292e-03 1.2411e-05
4.2924e+00 1.0120e-03 1.2418e-05
4.3017e+00 9.2492e-04 1.2138e-05
4.3108e+00 9.5472e-04 1.2269e-05
4.3200e+00 1.0939e-03 1.2680e-05
4.3292e+00 1.1119e-03 1.2928e-05
4.3383e+00 1.0177e-03 1.2613e-05
4.3474e+00 1.0237e-03 1.2752e-05
4.3565e+00 1.1060e-03 1.3062e-05
4.3656e+00 1.2013e-03 1.3754e-05
4.3746e+00 1.2053e-03 1.3708e-05
4.3837e+00 1.0994e-03 1.3259e-05
4.3927e+00 9.9850e-04 1.3046e-05
4.4017e+00 1.1592e-03 1.3857e-05
4.4106e+00 1.3242e-03 1.4277e-05
4.4196e+00 1.1464e-03 1.3703e-05
4.4285e+00 9.2784e-04 1.2821e-05
4.4374e+00 9.6689e-04 1.3087e-05
4.4463e+00 1.0419e-03 1.3392e-05
4.4552e+00 1.0478e-03 1.3478e-05
4.4640e+00 9.6497e-04 1.3269e-05
4.4729e+00 8.9642e-04 1.3134e-05
4.4817e+00 9.1327e-04 1.3239e-05
4.4905e+00 8.9680e-04 1.3682e-05
4.4993e+00 8.7109e-04 1.3420e-05
4.5080e+00 8.0846e-04 1.3056e-05
4.5168e+00 7.1595e-04 1.3117e-05
4.5255e+00 6.6678e-04 1.2354e-05
4.5342e+00 6.7822e-04 1.2443e-05
4.5429e+00 7.1551e-04 1.2733e-05
4.5516e+00 7.1195e-04 1.2804e-05
4.5602e+00 7.0419e-04 1.2791e-05
4.5689e+00 6.3388e-04 1.2477e-05
4.5775e+00 6.4652e-04 1.2508e-05
4.5861e+00 7.0861e-04 1.2952e-05
4.5947e+00 7.5038e-04 1.3416e-05
4.6033e+00 7.3705e-04 1.3317e-05
4.6118e+00 6.7100e-04 1.3210e-05
4.6203e+00 6.4796e-04 1.3115e-05
4.6289e+00 7.2048e-04 1.3575e-05
4.6374e+00 7.6864e-04 1.3669e-05
4.6458e+00 7.5002e-04 1.4157e-05
4.6543e+00 8.3512e-04 1.4505e-05
4.6627e+00 9.4978e-04 1.4669e-05
4.6712e+00 8.1500e-04 1.4174e-05
4.6796e+00 8.0288e-04 1.4155e-05
4.6880e+00 9.1206e-04 1.4713e-05
4.6964e+00 8.6352e-04 1.4513e-05
4.7047e+00 7.6158e-04 1.4110e-05
4.7131e+00 7.2250e-04 1.4013e-05
4.7214e+00 6.7696e-04 1.3905e-05
4.7298e+00 6.7744e-04 1.3821e-05
4.7381e+00 7.7034e-04 1.4471e-05
4.7463e+00 8.6939e-04 1.5384e-05
4.7546e+00 8.2602e-04 1.5085e-05
4.7629e+00 7.7573e-04 1.4732e-05
4.7711e+00 6.6404e-04 1.4105e-05
4.7793e+00 5.7400e-04 1.3953e-05
4.7875e+00 6.2192e-04 1.4102e-05
4.7957e+00 8.1981e-04 1.5013e-05
4.8039e+00 7.9195e-04 1.5121e-05
4.8121e+00 7.4459e-04 1.5030e-05
4.8202e+00 7.9173e-04 1.5176e-05
4.8284e+00 7.9026e-04 1.5058e-05
4.8365e+00 6.9784e-04 1.5087e-05
4.8446e+00 7.1953e-04 1.5323e-05
4.8527e+00 8.4714e-04 1.5939e-05
4.8608e+00 9.2635e-04 1.6263e-05
4.8688e+00 9.1448e-04 1.6235e-05
4.8769e+00 9.2925e-04 1.6352e-05
4.8849e+00 8.5606e-04 1.6024e-05
4.8929e+00 7.4215e-04 1.5831e-05
4.9009e+00 7.9812e-04 1.6514e-05
4.9089e+00 9.4940e-04 1.6646e-05
4.9169e+00 1.0319e-03 1.7114e-05
4.9248e+00 9.3758e-04 1.6803e-05
4.9328e+00 8.0005e-04 1.6312e-05
4.9407e+00 7.6068e-04 1.6199e-05
4.9486e+00 6.2280e-04 1.5481e-05
4.9565e+00 6.0725e-04 1.5446e-05
4.9644e+00 8.4759e-04 1.6713e-05
4.9723e+00 9.1202e-04 1.7221e-05
4.9802e+00 9.5531e-04 1.7312e-05
4.9880e+00 1.0299e-03 1.7643e-05
4.9958e+00 9.7630e-04 1.7496e-05
5.0037e+00 8.8064e-04 1.7433e-05
5.0115e+00 6.3111e-04 1.6084e-05
5.0193e+00 5.1970e-04 1.5736e-05
5.0270e+00 6.9040e-04 1.7127e-05
5.0348e+00 9.0912e-04 1.8174e-05
5.0426e+00 9.4533e-04 1.8634e-05
5.0503e+00 9.6759e-04 1.8291e-05
5.0580e+00 1.0197e-03 1.8467e-05
5.0657e+00 1.0303e-03 1.9029e-05
5.0735e+00 7.7741e-04 1.8185e-05
5.0811e+00 6.5726e-04 1.8413e-05
5.0888e+00 8.6909e-04 1.8716e-05
5.0965e+00 8.7504e-04 1.8583e-05
5.1041e+00 7.3112e-04 1.8242e-05
5.1118e+00 7.8325e-04 1.8789e-05
5.1194e+00 8.3775e-04 1.9349e-05
5.1270e+00 7.2413e-04 1.9307e-05
5.1346e+00 4.9935e-04 1.8245e-05
5.1422e+00 3.6267e-04 1.7362e-05
5.1498e+00 5.1108e-04 1.7765e-05
5.1573e+00 6.5112e-04 1.8658e-05
5.1649e+00 6.6525e-04 1.8965e-05
5.1724e+00 6.8436e-04 1.9536e-05
5.1800e+00 8.0714e-04 1.9931e-05
5.1875e+00 7.4176e-04 1.9821e-05
5.2204e+00 6.2095e-04 2.0655e-06
5.2824e+00 5.6199e-04 1.9593e-06
5.3433e+00 5.1670e-04 1.8843e-06
5.4029e+00 4.2217e-04 1.7385e-06
5.4615e+00 3.4406e-04 1.6487e-06
5.5190e+00 2.9969e-04 1.5911e-06
5.5756e+00 2.4829e-04 1.5080e-06
5.6314e+00 2.2020e-04 1.4436e-06
5.6862e+00 1.9778e-04 1.4004e-06
5.7403e+00 1.8541e-04 1.3269e-06
5.7935e+00 1.8991e-04 1.4003e-06
5.8460e+00 1.7863e-04 1.3845e-06
5.8976e+00 1.6252e-04 1.3780e-06
5.9485e+00 1.6722e-04 1.3785e-06
5.9988e+00 1.9529e-04 1.5162e-06
6.0483e+00 1.9537e-04 1.3753e-06
6.0970e+00 1.9733e-04 1.5388e-06
6.1452e+00 2.1721e-04 1.5760e-06
6.1928e+00 2.7238e-04 1.7256e-06
6.2397e+00 3.4388e-04 1.8508e-06
6.2861e+00 4.0170e-04 2.0315e-06
6.3319e+00 3.4555e-04 1.9168e-06
6.3771e+00 2.5028e-04 1.6967e-06
6.4219e+00 1.7625e-04 1.5282e-06
6.5533e+00 1.3439e-04 1.4335e-06
6.5961e+00 1.3688e-04 1.4435e-06
6.6386e+00 1.5531e-04 1.5849e-06
6.6808e+00 1.9560e-04 1.6739e-06
6.7225e+00 2.3001e-04 1.7894e-06
6.7639e+00 2.3794e-04 1.8302e-06
6.8051e+00 2.3516e-04 1.8146e-06
6.8457e+00 2.4202e-04 1.7859e-06
6.8861e+00 2.6884e-04 2.0289e-06
6.9262e+00 3.0261e-04 2.1439e-06
6.9659e+00 2.8742e-04 2.2648e-06
7.0054e+00 2.7996e-04 2.0837e-06
7.0445e+00 2.8665e-04 2.0864e-06
7.0833e+00 2.8661e-04 2.0830e-06
7.1217e+00 2.8089e-04 2.1289e-06
7.1600e+00 2.5446e-04 2.0298e-06
7.1978e+00 2.3254e-04 2.0393e-06
7.2354e+00 2.1788e-04 1.9626e-06
7.2727e+00 1.9789e-04 1.9572e-06
7.3097e+00 1.7814e-04 1.9006e-06
7.3465e+00 1.5819e-04 1.8687e-06
7.3829e+00 1.5233e-04 1.8133e-06
7.4191e+00 1.4612e-04 1.9072e-06
7.4551e+00 1.5101e-04 1.8867e-06
7.4906e+00 1.7297e-04 1.9658e-06
7.5261e+00 2.0003e-04 2.0456e-06
7.5612e+00 2.1697e-04 2.1648e-06
7.5960e+00 2.2851e-04 2.1628e-06
7.6307e+00 2.0803e-04 2.0353e-06
7.6651e+00 1.6347e-04 1.9766e-06
7.6993e+00 1.2545e-04 1.8811e-06
7.7333e+00 1.3630e-04 1.9135e-06
7.7669e+00 1.6707e-04 2.0068e-06
7.8004e+00 1.8716e-04 2.0872e-06
7.8336e+00 1.9276e-04 2.1379e-06
7.8667e+00 1.9891e-04 2.1593e-06
7.8995e+00 2.0637e-04 2.2011e-06
7.9322e+00 2.1630e-04 2.2338e-06
7.9646e+00 2.2983e-04 2.3356e-06
7.9967e+00 2.3674e-04 2.3309e-06
8.0288e+00 2.3884e-04 2.3969e-06
8.0606e+00 2.5470e-04 2.4083e-06
8.0923e+00 2.6920e-04 2.5844e-06
8.1238e+00 3.0725e-04 2.6326e-06
8.1551e+00 3.0702e-04 2.7216e-06
8.1862e+00 3.2203e-04 2.7300e-06
8.2172e+00 3.3735e-04 2.9133e-06
8.2480e+00 3.7953e-04 2.9584e-06
8.2786e+00 4.2416e-04 2.8614e-06
8.3091e+00 4.3073e-04 3.1472e-06
8.3395e+00 4.4999e-04 3.2118e-06
8.3697e+00 4.6496e-04 3.2344e-06
8.3997e+00 4.8798e-04 3.3478e-06
8.4296e+00 5.3252e-04 3.4309e-06
8.4595e+00 5.4911e-04 3.5040e-06
8.4891e+00 5.6373e-04 3.5373e-06
8.5186e+00 5.7479e-04 3.6134e-06
8.5480e+00 6.2064e-04 3.7145e-06
8.5772e+00 6.6308e-04 3.8703e-06
8.6063e+00 6.5811e-04 3.8522e-06
8.6353e+00 6.6819e-04 3.9942e-06
8.6641e+00 7.1718e-04 4.0655e-06
8.6928e+00 7.5102e-04 4.1984e-06
8.7215e+00 7.9435e-04 4.2868e-06
8.7499e+00 7.6533e-04 4.2709e-06
8.7782e+00 7.3302e-04 4.1431e-06
8.8064e+00 7.5860e-04 4.2920e-06
8.8345e+00 8.1091e-04 4.4114e-06
8.8624e+00 8.5767e-04 4.6417e-06
8.8903e+00 8.4270e-04 4.5517e-06
8.9180e+00 8.0915e-04 4.4998e-06
8.9455e+00 7.7289e-04 4.4829e-06
8.9729e+00 7.9796e-04 4.5985e-06
9.0004e+00 8.3866e-04 4.7001e-06
9.0275e+00 8.4799e-04 4.7409e-06
9.0546e+00 8.5838e-04 4.7742e-06
9.0816e+00 8.4971e-04 4.8089e-06
9.1085e+00 8.6945e-04 4.4382e-06
9.1352e+00 8.3913e-04 4.8701e-06
9.1618e+00 8.4860e-04 4.8783e-06
9.1883e+00 8.8395e-04 4.9874e-06
9.2147e+00 9.3731e-04 5.1111e-06
9.2410e+00 9.6189e-04 5.2024e-06
9.2671e+00 9.2370e-04 5.1425e-06
9.2933e+00 8.6935e-04 5.1141e-06
9.3192e+00 8.3332e-04 4.9285e-06
9.3450e+00 8.6658e-04 5.0874e-06
9.3708e+00 8.9978e-04 5.2703e-06
9.3963e+00 9.4040e-04 5.4105e-06
9.4218e+00 9.5946e-04 5.3645e-06
9.4473e+00 9.3976e-04 5.4185e-06
9.4726e+00 8.8179e-04 5.2849e-06
9.4977e+00 8.7371e-04 5.3763e-06
9.5229e+00 9.1579e-04 5.4494e-06
9.5478e+00 9.7070e-04 5.6243e-06
9.5727e+00 1.0220e-03 5.7079e-06
9.5975e+00 1.0262e-03 5.7943e-06
9.6221e+00 1.0117e-03 5.7946e-06
9.6468e+00 9.5864e-04 5.7493e-06
9.6712e+00 8.9615e-04 5.5605e-06
9.6957e+00 8.8096e-04 5.6747e-06
9.7199e+00 9.6153e-04 5.8691e-06
9.7441e+00 1.0188e-03 6.0818e-06
9.7682e+00 1.0998e-03 6.1677e-06
9.7922e+00 1.1113e-03 6.3492e-06
9.8161e+00 1.1221e-03 6.3979e-06
9.8399e+00 1.0700e-03 6.2561e-06
9.8637e+00 9.6974e-04 6.0860e-06
9.8873e+00 9.3543e-04 6.2229e-06
9.9109e+00 9.9540e-04 6.2262e-06
9.9343e+00 1.1007e-03 6.5602e-06
