# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1397e+00 2.9298e-05 2.8117e-06
3.1524e+00 2.2720e-05 2.7579e-06
3.1650e+00 1.4680e-05 2.8153e-06
3.1776e+00 9.4417e-06 2.9718e-06
3.1902e+00 1.5605e-05 2.8494e-06
3.2026e+00 1.3026e-05 2.8577e-06
3.2151e+00 1.4040e-05 2.8239e-06
3.2275e+00 1.3425e-05 2.8619e-06
3.2398e+00 8.8440e-06 2.8921e-06
3.2521e+00 1.1430e-05 2.9789e-06
3.2644e+00 1.6938e-05 2.9711e-06
3.2766e+00 1.7778e-05 2.9891e-06
3.2887e+00 1.9633e-05 3.0076e-06
3.3009e+00 1.8738e-05 3.0020e-06
3.3129e+00 9.8160e-06 3.0409e-06
3.3250e+00 -4.6414e-07 3.0550e-06
3.3370e+00 5.9208e-07 3.1313e-06
3.3489e+00 7.3932e-06 3.0497e-06
3.3608e+00 1.5188e-05 3.2757e-06
3.3727e+00 1.5305e-05 3.2862e-06
3.3845e+00 1.2767e-05 3.2269e-06
3.3963e+00 1.7050e-05 3.2276e-06
3.4080e+00 2.0688e-05 3.3257e-06
3.4197e+00 1.2413e-05 3.2738e-06
3.4314e+00 1.0421e-05 3.3444e-06
3.4430e+00 1.1541e-05 3.2612e-06
3.4546e+00 1.8049e-05 3.5018e-06
3.4661e+00 1.8764e-05 3.4229e-06
3.4776e+00 1.8090e-05 3.4071e-06
3.4891e+00 2.2379e-05 3.4554e-06
3.5005e+00 2.8574e-05 3.5041e-06
3.5119e+00 2.9942e-05 3.5827e-06
3.5233e+00 2.9982e-05 3.6759e-06
3.5346e+00 3.3294e-05 3.6770e-06
3.5459e+00 4.3459e-05 3.6520e-06
3.5571e+00 4.9501e-05 3.8669e-06
3.5683e+00 4.2624e-05 3.8533e-06
3.5795e+00 5.2987e-05 3.7842e-06
3.5907e+00 6.0159e-05 3.9790e-06
3.6018e+00 4.6407e-05 3.9483e-06
3.6121e+00 4.7852e-05 4.1217e-06
3.6231e+00 6.2129e-05 4.0663e-06
3.6341e+00 6.7735e-05 4.0785e-06
3.6451e+00 7.9683e-05 4.2199e-06
3.6560e+00 9.1796e-05 4.2788e-06
3.6670e+00 1.0660e-04 4.3809e-06
3.6778e+00 1.0390e-04 4.3544e-06
3.6887e+00 1.1848e-04 4.4747e-06
3.6995e+00 1.3476e-04 4.6191e-06
3.7102e+00 1.3493e-04 4.6673e-06
3.7210e+00 1.3797e-04 4.6679e-06
3.7317e+00 1.4525e-04 4.7817e-06
3.7424e+00 1.5569e-04 4.7612e-06
3.7530e+00 1.5863e-04 4.9087e-06
3.7637e+00 1.6714e-04 5.1063e-06
3.7742e+00 1.6748e-04 5.1177e-06
3.7848e+00 1.6269e-04 5.1455e-06
3.7953e+00 1.7225e-04 5.0702e-06
3.8058e+00 1.9810e-04 5.2207e-06
3.8163e+00 2.3314e-04 5.4511e-06
3.8267e+00 2.6833e-04 5.5821e-06
3.8371e+00 2.5239e-04 5.5128e-06
3.8475e+00 2.0317e-04 5.2681e-06
3.8579e+00 2.1538e-04 5.4170e-06
3.8682e+00 2.3808e-04 5.6145e-06
3.8785e+00 2.5045e-04 5.6554e-06
3.8888e+00 2.4995e-04 5.8830e-06
3.8990e+00 2.6651e-04 5.9681e-06
3.9092e+00 2.7541e-04 5.9808e-06
3.9194e+00 2.8838e-04 5.9829e-06
3.9295e+00 3.1053e-04 6.1435e-06
3.9397e+00 3.2607e-04 6.3348e-06
3.9498e+00 3.3341e-04 6.4792e-06
3.9598e+00 3.4848e-04 6.4852e-06
3.9699e+00 3.6570e-04 6.7332e-06
3.9799e+00 3.5020e-04 6.5145e-06
3.9899e+00 3.9048e-04 6.6930e-06
3.9999e+00 4.1192e-04 6.9139e-06
4.0098e+00 4.1328e-04 7.0048e-06
4.0197e+00 4.2585e-04 6.8999e-06
4.0296e+00 4.4971e-04 7.2014e-06
4.0395e+00 4.4488e-04 7.2753e-06
4.0493e+00 4.5662e-04 7.3058e-06
4.0592e+00 4.7726e-04 7.3199e-06
4.0690e+00 5.0256e-04 7.4873e-06
4.0787e+00 5.1193e-04 7.5219e-06
4.0885e+00 5.3241e-04 7.6953e-06
4.0982e+00 5.4107e-04 7.7992e-06
4.1079e+00 5.3001e-04 7.8175e-06
4.1176e+00 5.2302e-04 7.7571e-06
4.1272e+00 5.5258e-04 7.8612e-06
4.1368e+00 5.6152e-04 8.1081e-06
4.1464e+00 5.4791e-04 8.1511e-06
4.1560e+00 5.1858e-04 7.9904e-06
4.1656e+00 5.2299e-04 7.9994e-06
4.1751e+00 5.2063e-04 7.9719e-06
4.1846e+00 4.7349e-04 7.8429e-06
4.1941e+00 4.1148e-04 7.5352e-06
4.2036e+00 3.7882e-04 7.5651e-06
4.2130e+00 3.3258e-04 7.3662e-06
4.2224e+00 2.5429e-04 6.9117e-06
4.2318e+00 2.3569e-04 6.8704e-06
4.2412e+00 2.4079e-04 6.8457e-06
4.2506e+00 2.5468e-04 6.9378e-06
4.2599e+00 2.6533e-04 7.0658e-06
4.2692e+00 2.6117e-04 7.1683e-06
4.2785e+00 2.6809e-04 7.1806e-06
4.2877e+00 2.8514e-04 7.3735e-06
4.2970e+00 2.8204e-04 7.3523e-06
4.3062e+00 2.6030e-04 7.2761e-06
4.3154e+00 2.5905e-04 7.2717e-06
4.3246e+00 2.9301e-04 7.5755e-06
4.3338e+00 2.9833e-04 7.5206e-06
4.3429e+00 2.8863e-04 7.5855e-06
4.3520e+00 2.9444e-04 7.4411e-06
4.3611e+00 3.2908e-04 7.8722e-06
4.3702e+00 3.6709e-04 7.9850e-06
4.3793e+00 3.7221e-04 8.1121e-06
4.3883e+00 3.5603e-04 8.2017e-06
4.3973e+00 3.4663e-04 8.2078e-06
4.4064e+00 3.6829e-04 8.2534e-06
4.4153e+00 4.2575e-04 8.5657e-06
4.4243e+00 3.7885e-04 8.3716e-06
4.4332e+00 3.2283e-04 8.2419e-06
4.4422e+00 3.2470e-04 8.1918e-06
4.4511e+00 3.1625e-04 8.1482e-06
