# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5029e-01 1.2645e-06 4.3599e-07
9.6346e-01 1.1740e-06 4.2850e-07
9.7696e-01 1.6618e-06 4.2019e-07
9.9079e-01 1.9092e-06 4.3371e-07
1.0050e+00 3.9658e-06 4.1608e-07
1.0195e+00 6.9119e-06 4.2788e-07
1.0343e+00 1.0014e-05 4.3402e-07
1.0494e+00 1.3054e-05 4.5443e-07
1.0649e+00 1.5511e-05 4.4713e-07
1.0807e+00 1.4151e-05 4.3284e-07
1.0969e+00 6.8121e-06 3.8392e-07
1.1133e+00 1.2742e-06 3.3602e-07
1.1300e+00 4.2626e-07 3.1931e-07
1.1471e+00 -1.6879e-07 3.1537e-07
1.1644e+00 2.3967e-07 3.1498e-07
1.1820e+00 4.9567e-07 3.1103e-07
1.1998e+00 2.1251e-06 3.1325e-07
1.2179e+00 7.0595e-06 3.5246e-07
1.2363e+00 1.4948e-05 3.9853e-07
1.2548e+00 2.3505e-05 4.4646e-07
1.2736e+00 2.5198e-05 4.6779e-07
1.2926e+00 1.5672e-05 4.1312e-07
1.3117e+00 6.4968e-06 3.6311e-07
1.3310e+00 1.6935e-06 3.3464e-07
1.3504e+00 7.4048e-07 3.3920e-07
1.3700e+00 1.4539e-07 3.5296e-07
1.3896e+00 1.9340e-07 3.4751e-07
1.4094e+00 2.0456e-07 3.6836e-07
1.4293e+00 1.6920e-07 3.8381e-07
1.4492e+00 4.0022e-07 3.7248e-07
1.4691e+00 -1.4261e-07 3.7259e-07
1.4892e+00 6.1141e-07 3.8395e-07
1.5092e+00 1.6314e-06 4.0004e-07
1.5293e+00 3.6445e-06 4.3346e-07
1.5493e+00 9.3494e-06 4.8259e-07
1.5694e+00 1.7309e-05 5.3638e-07
1.5895e+00 1.7515e-05 5.5590e-07
1.6095e+00 8.0316e-06 4.8971e-07
1.6295e+00 1.5996e-06 4.7454e-07
1.6494e+00 1.1251e-06 4.8630e-07
1.6694e+00 9.7993e-07 5.1384e-07
1.6879e+00 1.2258e-06 5.0111e-07
1.7077e+00 2.9097e-07 5.3305e-07
1.7274e+00 1.0772e-06 5.2229e-07
1.7471e+00 5.6687e-07 5.2089e-07
1.7667e+00 8.6257e-07 5.3416e-07
1.7862e+00 5.5775e-07 5.3701e-07
1.8056e+00 7.1030e-07 5.6642e-07
1.8250e+00 7.9176e-07 5.6035e-07
1.8442e+00 4.7929e-07 5.6003e-07
1.8634e+00 5.3545e-07 5.8356e-07
1.8825e+00 1.0959e-06 5.9182e-07
1.9015e+00 1.7173e-06 5.9342e-07
1.9204e+00 1.7757e-06 6.1850e-07
1.9392e+00 1.8901e-06 6.1686e-07
1.9579e+00 8.2942e-07 6.3535e-07
1.9765e+00 2.2295e-06 6.8340e-07
1.9950e+00 2.7595e-06 6.8465e-07
2.0133e+00 4.0584e-06 7.2484e-07
2.0316e+00 4.6059e-06 7.0023e-07
2.0498e+00 5.5208e-06 7.2068e-07
2.0679e+00 8.1520e-06 7.2935e-07
2.0859e+00 9.2952e-06 7.2435e-07
2.1038e+00 7.6558e-06 7.3199e-07
2.1216e+00 7.1319e-06 7.3429e-07
2.1393e+00 5.5494e-06 7.3720e-07
2.1569e+00 4.1158e-06 7.3883e-07
2.1743e+00 2.2470e-06 7.3107e-07
2.1917e+00 1.5713e-06 7.4739e-07
2.2090e+00 4.1632e-07 7.4217e-07
2.2262e+00 1.6427e-06 7.5864e-07
2.2433e+00 5.2117e-07 7.7528e-07
2.2603e+00 -4.1293e-08 7.9694e-07
2.2772e+00 1.0428e-06 7.5144e-07
2.2940e+00 4.9063e-07 7.9446e-07
2.3107e+00 3.0386e-07 7.5757e-07
2.3274e+00 2.6864e-07 7.6355e-07
2.3439e+00 -1.1302e-07 7.7899e-07
2.3603e+00 3.2887e-07 7.8082e-07
2.3767e+00 1.0261e-06 8.0495e-07
2.3929e+00 6.3596e-07 8.2020e-07
2.4091e+00 2.3703e-06 8.0435e-07
2.4252e+00 9.8912e-07 7.8796e-07
2.4412e+00 2.1662e-06 8.1911e-07
2.4571e+00 3.1382e-06 8.4207e-07
2.4729e+00 3.0796e-06 8.3991e-07
2.4887e+00 3.3516e-06 8.5716e-07
2.5043e+00 2.3475e-06 8.4610e-07
2.5199e+00 1.3197e-06 8.5852e-07
2.5354e+00 1.3060e-06 8.7728e-07
2.5508e+00 1.4272e-06 8.5131e-07
2.5661e+00 6.0362e-07 8.5832e-07
2.5814e+00 1.7384e-06 8.8570e-07
2.5966e+00 1.4455e-06 8.7317e-07
2.6117e+00 1.2915e-06 8.8932e-07
2.6267e+00 8.9345e-07 9.0187e-07
2.6416e+00 1.1747e-06 9.1211e-07
2.6565e+00 6.3734e-07 9.3130e-07
2.6713e+00 5.1149e-07 9.4967e-07
2.6860e+00 1.2440e-07 9.5800e-07
2.7007e+00 9.2635e-07 9.5975e-07
2.7153e+00 7.4096e-07 1.0018e-06
2.7298e+00 7.7336e-07 1.0117e-06
2.7443e+00 1.7576e-06 9.9097e-07
2.7586e+00 2.3886e-06 1.0085e-06
2.7730e+00 1.4327e-06 1.0316e-06
2.7872e+00 4.4079e-07 1.0417e-06
2.8014e+00 7.2617e-07 1.0350e-06
2.8155e+00 2.3505e-06 1.0764e-06
2.8295e+00 4.4335e-06 1.0900e-06
2.8435e+00 3.0582e-06 1.0974e-06
2.8574e+00 4.8553e-06 1.1204e-06
2.8713e+00 5.3164e-06 1.1149e-06
2.8851e+00 5.8787e-06 1.1281e-06
2.8988e+00 6.6024e-06 1.1697e-06
2.9125e+00 7.5602e-06 1.1876e-06
2.9261e+00 1.1043e-05 1.2076e-06
2.9397e+00 1.1925e-05 1.2368e-06
2.9532e+00 1.3213e-05 1.2838e-06
2.9666e+00 1.6466e-05 1.2525e-06
2.9800e+00 1.6943e-05 1.2645e-06
2.9933e+00 1.5467e-05 1.2376e-06
3.0066e+00 1.4589e-05 1.2631e-06
3.0198e+00 1.8644e-05 1.3379e-06
3.0330e+00 2.2818e-05 1.3414e-06
3.0461e+00 2.1075e-05 1.3677e-06
3.0592e+00 2.4048e-05 1.3902e-06
3.0722e+00 2.1681e-05 1.3531e-06
3.0851e+00 1.9540e-05 1.3129e-06
3.0980e+00 1.5653e-05 1.2860e-06
3.1109e+00 1.6000e-05 1.3070e-06
3.1236e+00 9.6987e-06 1.3072e-06
3.1364e+00 1.0385e-05 1.3621e-06
3.1491e+00 8.4288e-06 1.3476e-06
3.1617e+00 4.8034e-06 1.3345e-06
3.1743e+00 1.9068e-06 1.2997e-06
3.1869e+00 3.3217e-06 1.2774e-06
3.1994e+00 4.6231e-06 1.3468e-06
3.2118e+00 8.1236e-07 1.3282e-06
3.2242e+00 2.1786e-06 1.3323e-06
3.2366e+00 4.2375e-06 1.3683e-06
3.2489e+00 2.8700e-06 1.3631e-06
3.2612e+00 7.7128e-07 1.3418e-06
3.2734e+00 2.0096e-06 1.3957e-06
3.2856e+00 5.2979e-06 1.4839e-06
3.2977e+00 6.3175e-06 1.4677e-06
3.3098e+00 1.2556e-06 1.3913e-06
3.3218e+00 -6.7904e-07 1.4169e-06
3.3338e+00 1.7071e-06 1.4588e-06
3.3458e+00 3.0367e-06 1.4887e-06
3.3577e+00 2.4666e-06 1.4761e-06
3.3696e+00 2.5739e-06 1.4953e-06
3.3814e+00 3.1490e-06 1.5168e-06
3.3932e+00 2.1892e-06 1.4939e-06
3.4050e+00 3.4655e-06 1.4732e-06
3.4167e+00 3.0614e-06 1.4820e-06
3.4284e+00 4.1465e-06 1.5590e-06
3.4400e+00 1.7137e-06 1.5356e-06
3.4516e+00 4.5308e-06 1.5349e-06
3.4624e+00 4.2793e-06 1.5610e-06
3.4739e+00 2.9261e-06 1.5622e-06
3.4854e+00 3.2883e-06 1.5656e-06
3.4968e+00 3.7571e-06 1.5754e-06
3.5083e+00 5.6208e-06 1.5752e-06
3.5196e+00 7.3390e-06 1.5463e-06
3.5310e+00 1.1443e-05 1.5937e-06
3.5423e+00 9.8953e-06 1.6725e-06
3.5535e+00 9.8324e-06 1.6478e-06
3.5647e+00 1.1897e-05 1.6647e-06
3.5759e+00 1.1700e-05 1.8197e-06
3.5871e+00 1.3127e-05 1.7427e-06
3.5982e+00 1.1709e-05 1.6817e-06
3.6093e+00 1.0954e-05 1.7535e-06
3.6203e+00 1.4366e-05 1.7809e-06
3.6314e+00 1.6464e-05 1.8286e-06
3.6423e+00 2.0766e-05 1.7381e-06
3.6533e+00 2.6282e-05 1.8410e-06
3.6642e+00 3.2665e-05 1.9575e-06
3.6751e+00 3.2763e-05 1.9316e-06
3.6859e+00 3.2522e-05 1.9497e-06
3.6968e+00 3.5062e-05 1.9498e-06
3.7075e+00 3.7828e-05 1.9668e-06
3.7183e+00 3.8598e-05 2.0668e-06
3.7290e+00 3.9851e-05 2.0618e-06
