# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5553e-01 3.4684e-06 1.2449e-06
9.6882e-01 5.3545e-06 1.2104e-06
9.8244e-01 1.1713e-05 1.1600e-06
9.9639e-01 1.7066e-05 1.1547e-06
1.0107e+00 2.2999e-05 1.1820e-06
1.0253e+00 3.1488e-05 1.1779e-06
1.0402e+00 3.6400e-05 1.1978e-06
1.0555e+00 3.6926e-05 1.1907e-06
1.0711e+00 3.5701e-05 1.1409e-06
1.0870e+00 2.8592e-05 1.0688e-06
1.1021e+00 1.2172e-05 9.5840e-07
1.1186e+00 3.3267e-06 9.2640e-07
1.1355e+00 2.0651e-06 8.9487e-07
1.1526e+00 2.1425e-06 8.8087e-07
1.1699e+00 4.1442e-06 8.7973e-07
1.1876e+00 1.0850e-05 9.0601e-07
1.2055e+00 1.9603e-05 9.5220e-07
1.2237e+00 3.2913e-05 1.0281e-06
1.2421e+00 5.0542e-05 1.1265e-06
1.2607e+00 6.6782e-05 1.2325e-06
1.2795e+00 7.0099e-05 1.2502e-06
1.2985e+00 5.4503e-05 1.1413e-06
1.3176e+00 3.5102e-05 1.0848e-06
1.3369e+00 1.2806e-05 9.7588e-07
1.3564e+00 2.7593e-06 9.5097e-07
1.3759e+00 1.1370e-06 9.9733e-07
1.3956e+00 8.5349e-07 9.6862e-07
1.4154e+00 3.0580e-07 1.0385e-06
1.4352e+00 7.6627e-07 1.0678e-06
1.4552e+00 1.7819e-06 1.0496e-06
1.4751e+00 2.0604e-06 1.0742e-06
1.4951e+00 6.7996e-06 1.1157e-06
1.5152e+00 1.4818e-05 1.2132e-06
1.5352e+00 2.8965e-05 1.3245e-06
1.5552e+00 4.6509e-05 1.4225e-06
1.5753e+00 6.1603e-05 1.5194e-06
1.5953e+00 5.3648e-05 1.5571e-06
1.6153e+00 2.8891e-05 1.4701e-06
1.6353e+00 1.4907e-05 1.3558e-06
1.6552e+00 1.3525e-05 1.3673e-06
1.6751e+00 8.6020e-06 1.4415e-06
1.6949e+00 1.0408e-05 1.4148e-06
1.7146e+00 9.3403e-06 1.4497e-06
1.7343e+00 1.0073e-05 1.4551e-06
1.7539e+00 7.4267e-06 1.4736e-06
