# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5748e-01 2.3111e-07 4.7218e-07
9.7081e-01 8.1431e-07 4.7243e-07
9.8448e-01 1.2700e-06 4.5981e-07
9.9848e-01 2.5689e-06 4.5979e-07
1.0128e+00 3.5043e-06 4.4624e-07
1.0275e+00 4.0781e-06 4.4491e-07
1.0425e+00 5.7251e-06 4.3918e-07
1.0578e+00 6.5795e-06 4.2629e-07
1.0724e+00 5.8291e-06 4.2264e-07
1.0883e+00 3.7344e-06 4.0323e-07
1.1045e+00 1.5503e-06 3.7129e-07
1.1211e+00 8.2713e-07 3.5669e-07
1.1380e+00 1.1850e-06 3.5857e-07
1.1551e+00 9.1805e-07 3.5026e-07
1.1725e+00 5.6715e-07 3.4622e-07
1.1902e+00 1.0198e-06 3.4918e-07
1.2082e+00 2.0741e-06 3.6242e-07
1.2264e+00 4.3421e-06 3.7115e-07
1.2448e+00 8.4202e-06 3.8758e-07
1.2634e+00 1.0826e-05 4.1963e-07
1.2823e+00 8.8043e-06 4.1222e-07
1.3013e+00 4.8729e-06 3.8980e-07
1.3205e+00 1.8125e-06 3.5878e-07
1.3398e+00 9.6101e-07 3.7895e-07
1.3593e+00 5.6825e-07 3.7913e-07
1.3788e+00 6.1762e-07 3.8407e-07
1.3985e+00 3.2541e-07 4.1254e-07
1.4183e+00 2.4805e-07 4.0682e-07
1.4382e+00 1.3907e-06 4.3455e-07
1.4581e+00 2.0600e-06 4.4140e-07
1.4781e+00 1.5994e-06 4.3421e-07
1.4981e+00 2.0958e-06 4.4665e-07
1.5181e+00 2.0307e-06 4.6159e-07
1.5382e+00 3.5637e-06 4.7906e-07
1.5582e+00 5.5193e-06 5.0486e-07
1.5782e+00 9.0426e-06 5.2907e-07
1.5982e+00 7.3847e-06 5.3820e-07
1.6182e+00 3.4388e-06 5.3563e-07
1.6382e+00 1.0939e-06 5.3362e-07
1.6581e+00 1.3390e-06 5.3943e-07
1.6780e+00 1.7347e-06 5.6184e-07
1.6978e+00 9.1960e-07 5.8297e-07
1.7175e+00 1.1179e-06 5.7946e-07
1.7372e+00 5.1868e-07 6.0429e-07
1.7568e+00 7.2724e-07 5.9196e-07
1.7763e+00 1.2090e-06 6.0538e-07
1.7958e+00 1.1233e-06 6.3210e-07
1.8152e+00 7.8796e-07 6.3214e-07
1.8344e+00 9.3520e-07 6.3130e-07
1.8536e+00 -1.7011e-07 6.3605e-07
1.8727e+00 1.2206e-07 6.4919e-07
1.8917e+00 5.3342e-07 6.6753e-07
1.9106e+00 7.5169e-07 6.6423e-07
1.9295e+00 5.3029e-07 6.8086e-07
1.9482e+00 -9.2174e-08 6.8606e-07
1.9668e+00 -2.1054e-07 6.9908e-07
1.9853e+00 8.8224e-07 7.0705e-07
2.0037e+00 9.4078e-07 7.2553e-07
2.0221e+00 2.3452e-06 7.2614e-07
2.0403e+00 2.4914e-06 7.3915e-07
2.0584e+00 2.1882e-06 7.5175e-07
2.0764e+00 3.7644e-06 7.5045e-07
2.0943e+00 4.4549e-06 7.5258e-07
2.1121e+00 3.0195e-06 7.6619e-07
2.1299e+00 1.2688e-06 7.6475e-07
2.1475e+00 2.9711e-06 7.9387e-07
2.1650e+00 3.1962e-06 8.0359e-07
2.1824e+00 3.4291e-06 8.2860e-07
2.1997e+00 8.5706e-07 8.2361e-07
2.2169e+00 5.2150e-07 8.3951e-07
2.2341e+00 1.3221e-06 8.2943e-07
2.2511e+00 1.8620e-06 8.5470e-07
2.2680e+00 1.5364e-06 8.6480e-07
2.2848e+00 -3.0800e-07 8.9104e-07
2.3016e+00 -2.1778e-06 8.7382e-07
2.3182e+00 -1.0498e-06 8.8827e-07
2.3348e+00 -8.4512e-07 8.7818e-07
2.3512e+00 1.2437e-06 8.8217e-07
2.3676e+00 1.6854e-06 8.7802e-07
2.3839e+00 1.0090e-06 8.8236e-07
2.4001e+00 9.6971e-07 9.1574e-07
2.4162e+00 2.3699e-07 9.1850e-07
2.4322e+00 -4.4323e-07 9.2824e-07
2.4481e+00 1.7051e-06 9.6639e-07
2.4640e+00 2.8695e-06 9.5064e-07
2.4797e+00 1.3124e-06 9.5692e-07
2.4954e+00 2.1352e-06 9.4850e-07
2.5110e+00 1.3676e-06 9.4398e-07
2.5265e+00 5.0404e-07 9.5756e-07
2.5420e+00 3.1912e-07 9.6824e-07
2.5573e+00 7.3941e-07 1.0086e-06
2.5726e+00 1.2584e-06 9.7628e-07
2.5878e+00 -5.3202e-07 9.7733e-07
2.6029e+00 -1.0949e-06 1.0065e-06
2.6179e+00 -1.2537e-06 9.9732e-07
2.6329e+00 1.5178e-06 1.0069e-06
2.6478e+00 1.8520e-06 1.0144e-06
2.6626e+00 6.6089e-08 1.0357e-06
2.6774e+00 -1.6986e-07 1.0964e-06
2.6911e+00 3.2211e-07 1.0865e-06
2.7057e+00 4.9697e-07 1.0975e-06
2.7202e+00 -8.0513e-07 1.1023e-06
2.7347e+00 -2.2597e-06 1.1006e-06
2.7491e+00 -3.2548e-06 1.1371e-06
2.7634e+00 -3.3050e-06 1.1710e-06
2.7777e+00 -3.0739e-06 1.1871e-06
2.7919e+00 -2.3127e-06 1.2000e-06
2.8060e+00 -9.4269e-07 1.1963e-06
2.8201e+00 -4.6233e-07 1.2074e-06
2.8341e+00 7.7739e-07 1.2441e-06
2.8480e+00 -1.7697e-07 1.2886e-06
2.8619e+00 1.9177e-06 1.2545e-06
2.8757e+00 3.6459e-06 1.2719e-06
2.8895e+00 5.1787e-06 1.2692e-06
2.9031e+00 3.3255e-06 1.3078e-06
2.9168e+00 5.7175e-06 1.3197e-06
2.9304e+00 5.2178e-06 1.3009e-06
2.9439e+00 3.3211e-06 1.3393e-06
2.9573e+00 7.1840e-06 1.3739e-06
2.9707e+00 6.9914e-06 1.3643e-06
2.9841e+00 9.1731e-06 1.3672e-06
2.9973e+00 6.1572e-06 1.3814e-06
3.0106e+00 5.7678e-06 1.3844e-06
3.0238e+00 9.1989e-06 1.4276e-06
3.0369e+00 7.5921e-06 1.4899e-06
3.0499e+00 9.5241e-06 1.4861e-06
3.0630e+00 8.0743e-06 1.4417e-06
3.0759e+00 1.0450e-05 1.4454e-06
3.0888e+00 9.5562e-06 1.4501e-06
3.1017e+00 7.6044e-06 1.4891e-06
3.1145e+00 6.4333e-06 1.4625e-06
3.1272e+00 7.5001e-06 1.4953e-06
3.1399e+00 5.5009e-06 1.5466e-06
3.1526e+00 5.7380e-06 1.5336e-06
3.1652e+00 1.2210e-06 1.4750e-06
3.1778e+00 2.6313e-06 1.5155e-06
3.1903e+00 3.4816e-08 1.5160e-06
3.2027e+00 -1.2059e-06 1.5076e-06
3.2151e+00 -5.6797e-07 1.5980e-06
3.2275e+00 3.4814e-06 1.6032e-06
3.2398e+00 3.5664e-06 1.5485e-06
3.2521e+00 3.5400e-06 1.5604e-06
3.2643e+00 1.5421e-06 1.5824e-06
3.2765e+00 4.3360e-06 1.6071e-06
3.2887e+00 1.6613e-06 1.5896e-06
3.3008e+00 2.5580e-06 1.6441e-06
3.3128e+00 1.5377e-06 1.6252e-06
3.3248e+00 3.6394e-06 1.6854e-06
3.3368e+00 5.1456e-06 1.6962e-06
3.3487e+00 3.7645e-06 1.6585e-06
3.3606e+00 4.8861e-06 1.7598e-06
3.3724e+00 3.5062e-06 1.7252e-06
3.3843e+00 9.5120e-07 1.6624e-06
3.3960e+00 1.3361e-06 1.7375e-06
3.4077e+00 1.2341e-06 1.7844e-06
3.4194e+00 -3.6158e-07 1.7586e-06
3.4310e+00 1.6634e-06 1.7263e-06
3.4426e+00 3.2442e-06 1.8061e-06
3.4542e+00 5.1841e-06 1.7999e-06
3.4657e+00 3.9158e-06 1.7790e-06
3.4772e+00 1.6294e-06 1.7797e-06
3.4887e+00 1.1040e-06 1.8420e-06
3.5001e+00 2.1892e-06 1.8624e-06
3.5114e+00 7.4322e-06 1.8997e-06
3.5228e+00 5.4189e-06 1.8386e-06
3.5341e+00 4.9049e-06 1.8697e-06
3.5453e+00 7.1695e-06 1.8918e-06
3.5566e+00 3.3612e-06 1.9687e-06
3.5678e+00 4.7949e-06 1.9934e-06
3.5789e+00 6.8681e-06 1.9491e-06
3.5900e+00 5.8479e-06 2.0473e-06
3.6011e+00 7.9628e-06 1.9676e-06
3.6122e+00 7.5225e-06 1.9616e-06
3.6232e+00 1.0672e-05 2.0249e-06
3.6342e+00 1.1249e-05 2.1207e-06
3.6451e+00 1.7144e-05 2.1424e-06
3.6560e+00 2.4219e-05 2.1874e-06
3.6669e+00 2.5955e-05 2.1003e-06
3.6778e+00 2.8932e-05 2.1211e-06
3.6886e+00 2.7072e-05 2.1491e-06
3.6994e+00 2.8030e-05 2.2264e-06
3.7101e+00 3.1150e-05 2.2335e-06
3.7208e+00 3.1787e-05 2.1895e-06
3.7315e+00 3.2008e-05 2.2605e-06
3.7422e+00 3.1489e-05 2.3611e-06
3.7528e+00 3.9570e-05 2.3672e-06
3.7634e+00 4.1643e-05 2.4498e-06
3.7740e+00 3.8026e-05 2.3802e-06
3.7845e+00 3.5175e-05 2.2995e-06
3.7950e+00 4.1338e-05 2.4016e-06
3.8055e+00 5.8475e-05 2.5747e-06
3.8159e+00 7.0503e-05 2.6937e-06
3.8264e+00 7.8200e-05 2.7097e-06
3.8367e+00 6.4479e-05 2.5837e-06
3.8471e+00 4.6133e-05 2.5311e-06
3.8574e+00 4.5932e-05 2.5602e-06
3.8677e+00 5.5091e-05 2.6246e-06
3.8780e+00 6.4099e-05 2.6616e-06
3.8882e+00 6.5933e-05 2.6933e-06
3.8985e+00 6.9455e-05 2.7048e-06
3.9087e+00 7.3255e-05 2.6850e-06
3.9188e+00 7.5319e-05 2.8754e-06
3.9290e+00 8.4910e-05 2.9179e-06
3.9391e+00 9.0684e-05 2.9842e-06
3.9491e+00 9.4817e-05 3.0023e-06
3.9592e+00 9.6822e-05 3.0068e-06
3.9692e+00 1.0247e-04 3.0006e-06
3.9792e+00 1.0320e-04 3.0248e-06
3.9892e+00 1.1470e-04 3.1481e-06
3.9991e+00 1.1442e-04 3.3216e-06
4.0091e+00 1.1348e-04 3.2654e-06
4.0190e+00 1.2574e-04 3.2503e-06
4.0288e+00 1.2871e-04 3.3178e-06
4.0387e+00 1.1917e-04 3.2576e-06
4.0485e+00 1.2448e-04 3.2619e-06
4.0583e+00 1.4525e-04 3.4671e-06
4.0681e+00 1.5652e-04 3.5030e-06
4.0778e+00 1.5903e-04 3.5061e-06
4.0876e+00 1.7201e-04 3.6028e-06
4.0973e+00 1.6914e-04 3.5787e-06
4.1069e+00 1.6092e-04 3.5860e-06
4.1166e+00 1.6699e-04 3.6526e-06
4.1262e+00 1.8775e-04 3.8204e-06
4.1358e+00 1.8956e-04 3.9100e-06
4.1454e+00 1.6774e-04 3.7020e-06
4.1550e+00 1.6167e-04 3.6389e-06
4.1645e+00 1.8705e-04 3.8527e-06
4.1740e+00 1.9849e-04 3.8976e-06
4.1835e+00 1.8273e-04 3.8728e-06
4.1930e+00 1.6453e-04 3.8710e-06
4.2024e+00 1.7419e-04 3.8090e-06
4.2118e+00 1.5924e-04 3.7788e-06
4.2212e+00 1.3650e-04 3.7172e-06
4.2306e+00 1.3912e-04 3.8814e-06
4.2399e+00 1.5856e-04 3.8836e-06
4.2493e+00 1.6128e-04 3.9251e-06
4.2586e+00 1.6332e-04 3.9176e-06
4.2679e+00 1.5190e-04 3.8494e-06
4.2772e+00 1.5484e-04 3.8915e-06
4.2864e+00 1.7297e-04 3.8901e-06
4.2956e+00 1.7229e-04 3.9937e-06
4.3048e+00 1.5224e-04 3.9021e-06
4.3140e+00 1.6214e-04 4.0394e-06
4.3232e+00 1.8953e-04 4.1884e-06
4.3323e+00 1.8278e-04 4.2178e-06
4.3414e+00 1.6248e-04 4.0973e-06
4.3505e+00 1.7501e-04 4.1858e-06
4.3596e+00 1.9391e-04 4.3160e-06
4.3687e+00 2.0493e-04 4.3076e-06
4.3777e+00 1.9693e-04 4.2376e-06
4.3868e+00 1.7649e-04 4.2405e-06
4.3958e+00 1.6722e-04 4.2621e-06
4.4047e+00 2.1063e-04 4.4616e-06
4.4137e+00 2.2893e-04 4.5648e-06
4.4226e+00 1.9270e-04 4.5423e-06
4.4316e+00 1.5347e-04 4.1538e-06
4.4405e+00 1.6491e-04 4.2730e-06
4.4494e+00 1.7135e-04 4.4020e-06
4.4582e+00 1.7208e-04 4.3530e-06
4.4671e+00 1.4919e-04 4.2569e-06
4.4759e+00 1.3994e-04 4.2813e-06
4.4847e+00 1.3757e-04 4.3088e-06
4.4935e+00 1.3296e-04 4.2465e-06
4.5023e+00 1.3559e-04 4.3107e-06
4.5110e+00 1.1756e-04 4.4054e-06
4.5198e+00 9.8347e-05 4.1374e-06
4.5285e+00 9.0494e-05 4.1824e-06
4.5372e+00 9.6226e-05 4.3155e-06
4.5459e+00 9.9633e-05 4.1312e-06
4.5546e+00 8.3481e-05 4.2848e-06
4.5632e+00 8.2592e-05 4.1732e-06
4.5718e+00 6.9268e-05 4.1406e-06
4.5804e+00 7.5327e-05 4.3025e-06
4.5890e+00 7.6987e-05 4.2762e-06
4.5976e+00 7.4741e-05 4.3301e-06
4.6062e+00 7.9839e-05 4.2919e-06
4.6147e+00 7.8027e-05 4.2937e-06
4.6232e+00 7.7980e-05 4.3581e-06
4.6318e+00 9.5945e-05 4.5031e-06
4.6403e+00 1.0279e-04 4.6843e-06
4.6487e+00 1.0302e-04 4.6427e-06
4.6572e+00 1.2709e-04 4.7707e-06
4.6656e+00 1.3918e-04 4.8827e-06
4.6741e+00 1.1423e-04 4.8315e-06
4.6825e+00 1.2493e-04 4.7483e-06
4.6909e+00 1.2900e-04 4.8550e-06
4.6992e+00 1.0964e-04 4.7274e-06
4.7076e+00 9.3813e-05 4.6226e-06
4.7159e+00 8.8193e-05 4.6365e-06
4.7243e+00 8.2869e-05 4.7226e-06
4.7326e+00 9.6251e-05 4.8362e-06
4.7409e+00 1.0347e-04 4.8152e-06
4.7492e+00 1.1505e-04 4.8898e-06
4.7574e+00 1.0573e-04 4.7966e-06
4.7657e+00 9.9122e-05 4.8598e-06
4.7739e+00 8.8812e-05 4.8827e-06
4.7821e+00 7.9077e-05 4.8421e-06
4.7903e+00 9.8596e-05 4.8346e-06
4.7985e+00 1.0724e-04 5.0818e-06
4.8067e+00 1.0710e-04 5.2038e-06
4.8149e+00 1.0475e-04 5.1101e-06
4.8230e+00 1.0976e-04 5.1654e-06
4.8311e+00 1.0632e-04 5.1420e-06
4.8392e+00 9.0114e-05 5.2123e-06
4.8473e+00 1.0784e-04 5.1486e-06
4.8554e+00 1.3778e-04 5.4762e-06
4.8635e+00 1.4780e-04 5.6058e-06
4.8715e+00 1.4417e-04 5.6270e-06
4.8796e+00 1.5077e-04 5.5899e-06
4.8876e+00 1.1510e-04 5.4640e-06
4.8956e+00 1.1603e-04 5.3963e-06
4.9036e+00 1.3486e-04 5.7081e-06
4.9116e+00 1.5847e-04 5.7795e-06
