# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5838e-01 7.2498e-07 6.8231e-07
9.7176e-01 7.4079e-07 6.9700e-07
9.8546e-01 -3.8966e-07 6.8252e-07
9.9950e-01 1.4076e-06 6.5981e-07
1.0139e+00 1.7409e-06 6.2818e-07
1.0286e+00 2.8886e-06 6.2332e-07
1.0436e+00 2.9383e-06 6.1546e-07
1.0590e+00 3.7760e-06 6.0831e-07
1.0746e+00 3.7545e-06 5.9468e-07
1.0906e+00 1.3139e-06 5.6681e-07
1.1070e+00 -1.9067e-07 5.4263e-07
1.1236e+00 -1.6597e-07 5.2537e-07
1.1405e+00 2.9857e-07 5.3789e-07
1.1577e+00 1.8129e-07 5.1615e-07
1.1752e+00 -5.7382e-07 5.0444e-07
1.1930e+00 -4.1902e-07 5.0891e-07
1.2110e+00 4.4084e-07 5.1182e-07
1.2280e+00 1.5389e-06 5.2380e-07
1.2464e+00 3.0859e-06 5.2411e-07
1.2651e+00 4.2720e-06 5.4983e-07
1.2840e+00 2.6248e-06 5.5331e-07
1.3030e+00 9.5272e-07 5.3064e-07
1.3223e+00 -3.2804e-07 5.2343e-07
1.3416e+00 -4.1047e-07 5.4679e-07
1.3611e+00 4.3155e-07 5.5976e-07
1.3807e+00 -2.2247e-07 5.7275e-07
1.4005e+00 -5.9302e-07 6.0848e-07
1.4203e+00 -4.4041e-07 5.9996e-07
1.4402e+00 -8.8346e-08 6.3413e-07
1.4601e+00 6.7074e-07 6.6969e-07
1.4801e+00 5.2573e-07 6.5062e-07
1.5002e+00 -2.5827e-07 6.5835e-07
1.5202e+00 1.6409e-08 6.8003e-07
1.5403e+00 1.6958e-06 6.9712e-07
1.5604e+00 3.6423e-06 7.2490e-07
1.5804e+00 3.7382e-06 7.4692e-07
1.6005e+00 4.0928e-06 7.5688e-07
1.6205e+00 1.1249e-06 7.8306e-07
1.6405e+00 -1.5656e-06 7.9275e-07
1.6604e+00 -9.9683e-07 7.9991e-07
1.6803e+00 -1.4153e-07 8.1666e-07
1.7001e+00 -6.4401e-07 8.6397e-07
1.7199e+00 -1.7094e-06 8.5340e-07
1.7396e+00 1.4643e-07 8.8093e-07
1.7592e+00 2.2993e-06 8.8050e-07
1.7787e+00 3.6579e-07 9.1434e-07
1.7982e+00 -3.8448e-07 9.3064e-07
1.8176e+00 5.7998e-07 9.3123e-07
1.8369e+00 9.8684e-07 9.4938e-07
1.8561e+00 -4.6056e-07 9.6823e-07
1.8752e+00 -8.2278e-07 9.6919e-07
1.8942e+00 2.7523e-07 9.8446e-07
1.9132e+00 6.4953e-08 1.0176e-06
1.9320e+00 1.0862e-06 1.0179e-06
1.9507e+00 4.4193e-07 1.0443e-06
1.9694e+00 9.4304e-07 1.0587e-06
1.9879e+00 4.7549e-07 1.0657e-06
2.0063e+00 1.8309e-07 1.0730e-06
2.0247e+00 1.8480e-06 1.1019e-06
2.0429e+00 1.3722e-06 1.0838e-06
2.0610e+00 6.3126e-07 1.1047e-06
2.0791e+00 2.7858e-06 1.1612e-06
2.0970e+00 -5.7718e-08 1.1419e-06
2.1148e+00 1.9716e-06 1.1519e-06
2.1326e+00 1.0521e-06 1.1741e-06
2.1502e+00 2.2423e-06 1.1996e-06
2.1677e+00 3.6252e-06 1.2004e-06
2.1851e+00 1.0859e-06 1.2332e-06
2.2025e+00 -1.2298e-06 1.2297e-06
2.2197e+00 -1.2314e-06 1.2439e-06
2.2368e+00 2.2944e-07 1.2773e-06
2.2539e+00 -8.3729e-07 1.2898e-06
2.2708e+00 -1.7851e-06 1.3145e-06
2.2877e+00 -9.4175e-08 1.3469e-06
2.3044e+00 1.7385e-07 1.3000e-06
2.3211e+00 2.8586e-06 1.3219e-06
2.3376e+00 -6.5714e-07 1.3000e-06
2.3541e+00 -1.2341e-06 1.3248e-06
2.3705e+00 -1.2629e-06 1.3351e-06
2.3868e+00 2.7101e-07 1.3279e-06
2.4030e+00 2.0248e-06 1.3588e-06
2.4191e+00 -2.9078e-07 1.3707e-06
2.4351e+00 1.1653e-06 1.3884e-06
2.4511e+00 7.1578e-07 1.3629e-06
2.4669e+00 7.0677e-07 1.3882e-06
2.4827e+00 1.9682e-06 1.4306e-06
2.4984e+00 3.8247e-06 1.4233e-06
2.5140e+00 1.6903e-06 1.4230e-06
2.5295e+00 5.9482e-07 1.4231e-06
2.5450e+00 -9.2299e-07 1.4358e-06
2.5603e+00 -1.2563e-06 1.4798e-06
2.5756e+00 1.5877e-06 1.4683e-06
2.5908e+00 5.5431e-08 1.4942e-06
2.6060e+00 1.4738e-09 1.5171e-06
2.6210e+00 1.6669e-06 1.4927e-06
2.6360e+00 -3.1470e-07 1.4944e-06
2.6509e+00 4.6250e-06 1.5145e-06
2.6657e+00 -5.3439e-07 1.5502e-06
2.6805e+00 -8.8703e-07 1.5787e-06
2.6952e+00 -5.6096e-07 1.6121e-06
2.7098e+00 -6.9246e-07 1.6857e-06
2.7243e+00 -1.3434e-06 1.6638e-06
2.7388e+00 -1.0005e-06 1.6125e-06
2.7532e+00 8.4573e-07 1.6720e-06
2.7676e+00 -4.4070e-07 1.7369e-06
2.7818e+00 -6.5297e-07 1.7525e-06
2.7960e+00 4.1318e-06 1.7968e-06
2.8102e+00 2.0542e-06 1.7639e-06
2.8243e+00 1.5025e-06 1.7585e-06
2.8383e+00 2.4638e-06 1.7992e-06
2.8522e+00 9.7953e-07 1.8656e-06
2.8661e+00 1.7334e-06 1.8661e-06
2.8799e+00 9.5017e-07 1.8409e-06
2.8937e+00 1.6219e-06 1.8571e-06
2.9074e+00 4.6654e-06 1.9399e-06
2.9210e+00 6.6744e-06 2.0729e-06
2.9346e+00 7.9069e-06 2.0106e-06
2.9481e+00 6.9067e-06 1.9663e-06
2.9616e+00 8.2739e-06 2.0404e-06
2.9750e+00 1.0089e-05 2.0382e-06
2.9884e+00 1.3469e-05 2.0340e-06
3.0008e+00 6.8080e-06 2.0151e-06
3.0140e+00 8.9973e-06 2.0229e-06
3.0272e+00 1.3134e-05 2.0720e-06
3.0403e+00 1.0843e-05 2.1469e-06
3.0534e+00 1.6669e-05 2.1561e-06
3.0664e+00 1.8540e-05 2.1492e-06
3.0794e+00 1.5460e-05 2.1494e-06
3.0923e+00 1.1395e-05 2.1595e-06
3.1052e+00 6.5015e-06 2.1891e-06
3.1180e+00 7.4190e-06 2.1588e-06
3.1308e+00 8.4559e-06 2.2228e-06
3.1435e+00 9.4086e-06 2.1796e-06
3.1562e+00 1.9355e-06 2.1555e-06
3.1688e+00 3.0930e-06 2.1482e-06
3.1813e+00 4.4087e-06 2.1999e-06
3.1939e+00 6.1727e-07 2.2218e-06
3.2063e+00 2.3570e-07 2.1977e-06
3.2188e+00 -7.1153e-07 2.2897e-06
3.2312e+00 -1.4742e-06 2.3157e-06
3.2435e+00 -8.3626e-08 2.2709e-06
3.2558e+00 3.9659e-06 2.2645e-06
3.2680e+00 2.1399e-06 2.3267e-06
3.2802e+00 -8.7393e-07 2.2871e-06
3.2924e+00 4.2237e-06 2.3218e-06
3.3045e+00 5.3150e-06 2.3460e-06
3.3166e+00 -8.0081e-07 2.3307e-06
3.3286e+00 3.0248e-06 2.3536e-06
3.3406e+00 1.2580e-06 2.3924e-06
3.3525e+00 2.9645e-06 2.4415e-06
3.3644e+00 3.2616e-06 2.4782e-06
3.3762e+00 -7.1210e-07 2.5119e-06
3.3881e+00 2.1250e-06 2.4298e-06
3.3998e+00 -6.8858e-07 2.4944e-06
3.4116e+00 -1.3116e-06 2.5483e-06
3.4233e+00 7.7185e-07 2.5723e-06
3.4349e+00 -7.8319e-07 2.5145e-06
3.4465e+00 2.3102e-06 2.5731e-06
3.4581e+00 4.1865e-06 2.5794e-06
3.4696e+00 6.0126e-06 2.6948e-06
3.4811e+00 1.9684e-06 2.7511e-06
3.4926e+00 3.6119e-06 2.7133e-06
3.5040e+00 9.9335e-06 2.6751e-06
3.5154e+00 8.9238e-06 2.6943e-06
3.5268e+00 8.5570e-06 2.6746e-06
3.5381e+00 4.6856e-06 2.6735e-06
3.5493e+00 9.4255e-06 2.7448e-06
3.5606e+00 1.0229e-05 2.8134e-06
3.5718e+00 5.6064e-06 2.8215e-06
3.5830e+00 4.3078e-06 2.8047e-06
3.5941e+00 1.0458e-05 2.9939e-06
3.6052e+00 5.6316e-06 2.8809e-06
3.6163e+00 1.1860e-05 2.8761e-06
3.6273e+00 2.1739e-05 3.0026e-06
3.6383e+00 2.1162e-05 3.0153e-06
3.6492e+00 2.7131e-05 3.1058e-06
3.6602e+00 2.7485e-05 3.0972e-06
3.6711e+00 2.6209e-05 3.0709e-06
3.6819e+00 2.8847e-05 3.0726e-06
3.6928e+00 3.6887e-05 3.0946e-06
3.7036e+00 3.9375e-05 3.1849e-06
3.7143e+00 3.7979e-05 3.2815e-06
3.7251e+00 3.8557e-05 3.2508e-06
3.7358e+00 3.7780e-05 3.3070e-06
3.7464e+00 3.9382e-05 3.3606e-06
3.7571e+00 5.3746e-05 3.5161e-06
3.7677e+00 5.3954e-05 3.5010e-06
3.7783e+00 3.8844e-05 3.4814e-06
3.7888e+00 4.0925e-05 3.4825e-06
3.7993e+00 5.4471e-05 3.6144e-06
3.8098e+00 7.3842e-05 3.8526e-06
3.8203e+00 8.5850e-05 3.9788e-06
3.8307e+00 1.0395e-04 3.9461e-06
3.8411e+00 7.4612e-05 3.7346e-06
3.8515e+00 4.9370e-05 3.6869e-06
3.8618e+00 6.6476e-05 3.7421e-06
3.8722e+00 7.6450e-05 3.8437e-06
3.8824e+00 7.4822e-05 3.8153e-06
3.8927e+00 7.7574e-05 3.9237e-06
3.9029e+00 8.3797e-05 4.0076e-06
3.9131e+00 9.6201e-05 4.0441e-06
3.9233e+00 1.0514e-04 4.1435e-06
3.9335e+00 1.1219e-04 4.1748e-06
3.9436e+00 1.2394e-04 4.3063e-06
3.9537e+00 1.2000e-04 4.2407e-06
3.9637e+00 1.3046e-04 4.3155e-06
3.9738e+00 1.3270e-04 4.3809e-06
3.9838e+00 1.3785e-04 4.4671e-06
3.9938e+00 1.5770e-04 4.5981e-06
4.0038e+00 1.5448e-04 4.7408e-06
4.0137e+00 1.4589e-04 4.6499e-06
4.0236e+00 1.7185e-04 4.7167e-06
4.0335e+00 1.7132e-04 4.7629e-06
4.0434e+00 1.5857e-04 4.7675e-06
4.0532e+00 1.6859e-04 4.7780e-06
4.0630e+00 1.9795e-04 5.0646e-06
4.0728e+00 2.0476e-04 5.1507e-06
4.0826e+00 2.1314e-04 5.1280e-06
4.0923e+00 2.2069e-04 5.1978e-06
4.1020e+00 2.2841e-04 5.2607e-06
4.1117e+00 2.2592e-04 5.2136e-06
4.1214e+00 2.3974e-04 5.3722e-06
4.1310e+00 2.7728e-04 5.6508e-06
4.1406e+00 2.6882e-04 5.6836e-06
4.1502e+00 2.3502e-04 5.4980e-06
4.1598e+00 2.4612e-04 5.4993e-06
4.1693e+00 2.8657e-04 5.7971e-06
4.1789e+00 2.9848e-04 5.8523e-06
4.1884e+00 2.6148e-04 5.6825e-06
4.1979e+00 2.4552e-04 5.6562e-06
4.2073e+00 2.5506e-04 5.7099e-06
4.2168e+00 2.4372e-04 5.6299e-06
4.2262e+00 2.0248e-04 5.4615e-06
4.2356e+00 2.2221e-04 5.7083e-06
4.2449e+00 2.5556e-04 5.9065e-06
4.2543e+00 2.7297e-04 5.9322e-06
4.2636e+00 2.6874e-04 5.7763e-06
4.2729e+00 2.5349e-04 5.7848e-06
4.2822e+00 2.7728e-04 6.0527e-06
4.2915e+00 2.8467e-04 6.0558e-06
4.3007e+00 2.8215e-04 6.1142e-06
4.3099e+00 2.6084e-04 6.0851e-06
4.3191e+00 2.9214e-04 6.3383e-06
4.3283e+00 3.2074e-04 6.3895e-06
