# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5822e-01 3.1017e-05 1.3540e-06
9.7159e-01 4.6395e-05 1.3923e-06
9.8529e-01 6.9184e-05 1.4840e-06
9.9933e-01 9.7279e-05 1.6005e-06
1.0137e+00 1.4078e-04 1.8008e-06
1.0284e+00 1.9172e-04 1.9996e-06
1.0434e+00 2.4792e-04 2.2295e-06
1.0588e+00 3.0501e-04 2.4808e-06
1.0745e+00 3.4015e-04 2.5834e-06
1.0905e+00 2.5555e-04 2.2093e-06
1.1068e+00 1.1064e-04 1.5003e-06
1.1234e+00 4.5421e-05 1.1355e-06
1.1403e+00 3.3113e-05 1.0754e-06
1.1575e+00 2.8178e-05 1.0281e-06
1.1750e+00 4.6226e-05 1.0968e-06
1.1928e+00 1.0482e-04 1.3926e-06
1.2108e+00 2.0506e-04 1.7250e-06
1.2290e+00 3.6914e-04 2.4418e-06
1.2475e+00 5.4136e-04 3.0067e-06
1.2662e+00 6.3801e-04 3.3572e-06
1.2851e+00 5.8714e-04 3.1806e-06
1.3028e+00 4.2583e-04 2.5696e-06
1.3220e+00 2.3989e-04 1.8929e-06
1.3414e+00 6.2626e-05 1.2469e-06
1.3609e+00 9.4061e-06 9.7308e-07
1.3805e+00 6.2821e-06 9.9597e-07
1.4002e+00 6.5828e-06 9.8703e-07
1.4201e+00 9.4883e-06 1.0574e-06
1.4399e+00 1.8167e-05 1.1720e-06
1.4599e+00 3.5418e-05 1.2279e-06
1.4799e+00 5.4793e-05 1.3287e-06
1.4999e+00 8.8416e-05 1.5065e-06
1.5200e+00 1.5332e-04 1.8333e-06
1.5400e+00 2.6842e-04 2.3429e-06
1.5601e+00 4.1820e-04 2.8360e-06
1.5802e+00 5.1830e-04 3.0716e-06
1.6002e+00 3.9601e-04 2.7537e-06
1.6202e+00 1.7341e-04 2.1067e-06
1.6402e+00 8.3422e-05 1.7857e-06
1.6601e+00 7.7377e-05 1.7311e-06
1.6800e+00 7.0664e-05 1.7443e-06
1.6998e+00 6.7227e-05 1.7266e-06
1.7196e+00 6.8563e-05 1.7953e-06
1.7393e+00 6.9011e-05 1.8140e-06
1.7589e+00 6.2540e-05 1.7940e-06
1.7784e+00 5.5148e-05 1.7791e-06
1.7979e+00 3.9860e-05 1.7148e-06
1.8173e+00 3.0013e-05 1.6877e-06
1.8366e+00 3.1761e-05 1.7231e-06
1.8558e+00 3.0603e-05 1.7471e-06
1.8749e+00 3.7523e-05 1.8297e-06
1.8939e+00 5.4437e-05 1.8952e-06
1.9129e+00 5.7586e-05 1.9285e-06
1.9317e+00 4.6942e-05 1.9347e-06
1.9504e+00 4.3262e-05 1.9513e-06
1.9690e+00 6.2553e-05 2.0752e-06
1.9876e+00 9.6732e-05 2.2631e-06
2.0060e+00 1.3412e-04 2.4610e-06
2.0243e+00 1.7025e-04 2.6013e-06
2.0426e+00 2.2445e-04 2.9007e-06
2.0607e+00 2.6616e-04 3.1148e-06
2.0787e+00 2.9032e-04 3.2098e-06
2.0966e+00 2.8637e-04 3.2143e-06
2.1145e+00 2.6275e-04 3.1341e-06
2.1322e+00 2.2517e-04 2.9604e-06
2.1498e+00 1.8750e-04 2.8326e-06
2.1673e+00 1.4118e-04 2.6817e-06
2.1848e+00 9.3898e-05 2.4538e-06
2.2021e+00 4.7213e-05 2.2694e-06
2.2193e+00 2.9830e-05 2.1892e-06
2.2364e+00 2.1635e-05 2.2024e-06
2.2535e+00 1.5888e-05 2.2192e-06
2.2704e+00 1.2144e-05 2.2791e-06
2.2873e+00 1.3263e-05 2.1870e-06
2.3040e+00 1.5471e-05 2.2304e-06
2.3207e+00 1.5355e-05 2.2307e-06
2.3372e+00 1.4142e-05 2.2044e-06
2.3537e+00 1.4944e-05 2.2106e-06
2.3701e+00 1.2748e-05 2.2414e-06
2.3864e+00 1.2086e-05 2.2520e-06
2.4026e+00 1.5457e-05 2.3302e-06
2.4187e+00 2.5979e-05 2.4292e-06
2.4347e+00 3.4603e-05 2.4156e-06
2.4506e+00 4.3168e-05 2.4520e-06
2.4665e+00 4.7455e-05 2.6081e-06
2.4823e+00 5.2962e-05 2.6260e-06
2.4980e+00 5.1728e-05 2.6738e-06
2.5136e+00 4.6801e-05 2.7138e-06
2.5291e+00 4.2128e-05 2.5680e-06
2.5445e+00 3.3909e-05 2.5824e-06
2.5599e+00 3.1389e-05 2.4791e-06
2.5752e+00 2.1551e-05 2.4998e-06
2.5904e+00 2.4325e-05 2.6441e-06
2.6055e+00 2.9015e-05 2.5998e-06
2.6206e+00 3.4929e-05 2.6317e-06
2.6355e+00 4.9990e-05 2.7383e-06
2.6504e+00 4.9069e-05 2.8160e-06
2.6653e+00 3.0591e-05 2.7329e-06
2.6800e+00 2.2348e-05 2.7292e-06
2.6947e+00 3.0619e-05 2.7119e-06
2.7093e+00 3.9534e-05 2.8421e-06
2.7239e+00 4.1235e-05 2.8220e-06
2.7383e+00 4.9817e-05 3.0262e-06
2.7527e+00 4.6350e-05 3.0278e-06
2.7671e+00 3.3449e-05 3.0815e-06
2.7813e+00 3.9532e-05 3.0934e-06
2.7955e+00 4.7326e-05 3.1157e-06
2.8097e+00 4.4846e-05 3.1442e-06
2.8238e+00 5.7654e-05 3.2747e-06
2.8378e+00 6.4184e-05 3.4892e-06
2.8517e+00 6.4255e-05 3.4471e-06
2.8656e+00 8.0865e-05 3.5580e-06
2.8794e+00 9.3492e-05 3.5246e-06
2.8932e+00 9.8905e-05 3.7449e-06
2.9069e+00 1.1522e-04 3.7787e-06
2.9205e+00 1.2617e-04 3.7991e-06
2.9341e+00 1.4228e-04 3.8765e-06
2.9476e+00 1.5218e-04 4.0015e-06
2.9611e+00 1.4445e-04 3.9888e-06
2.9745e+00 1.3987e-04 3.8864e-06
2.9878e+00 1.4677e-04 3.9425e-06
3.0011e+00 1.2185e-04 3.8622e-06
3.0143e+00 1.2993e-04 4.0073e-06
3.0275e+00 1.5880e-04 4.2618e-06
3.0407e+00 1.5615e-04 4.2198e-06
3.0537e+00 1.4641e-04 4.1432e-06
3.0667e+00 1.3670e-04 4.0548e-06
3.0788e+00 1.1661e-04 4.0208e-06
3.0918e+00 9.2945e-05 3.9727e-06
3.1046e+00 8.3019e-05 3.9778e-06
3.1174e+00 8.9080e-05 4.0905e-06
3.1302e+00 7.1519e-05 3.9648e-06
3.1429e+00 5.9649e-05 3.9666e-06
3.1556e+00 4.5753e-05 3.8813e-06
3.1682e+00 3.6334e-05 3.9685e-06
3.1808e+00 2.6743e-05 3.9156e-06
3.1933e+00 3.2268e-05 4.0659e-06
3.2058e+00 3.0939e-05 4.0074e-06
3.2182e+00 3.2448e-05 3.8913e-06
3.2306e+00 3.0236e-05 3.9056e-06
3.2429e+00 3.0352e-05 3.8957e-06
3.2552e+00 3.3750e-05 4.0076e-06
3.2674e+00 3.9306e-05 3.9722e-06
3.2796e+00 4.5568e-05 3.9648e-06
3.2918e+00 5.3105e-05 4.1245e-06
3.3039e+00 4.7301e-05 4.0552e-06
3.3160e+00 2.1056e-05 3.9752e-06
3.3280e+00 7.5471e-06 4.0748e-06
3.3400e+00 2.1858e-05 4.0945e-06
3.3519e+00 3.3817e-05 4.1577e-06
3.3638e+00 3.3745e-05 4.3592e-06
3.3756e+00 2.9116e-05 4.2291e-06
3.3875e+00 2.8734e-05 4.2702e-06
3.3992e+00 2.9578e-05 4.2903e-06
3.4110e+00 2.9412e-05 4.2610e-06
3.4226e+00 3.6399e-05 4.2561e-06
3.4343e+00 3.6620e-05 4.3778e-06
3.4459e+00 3.3442e-05 4.3106e-06
3.4575e+00 3.7088e-05 4.4125e-06
3.4690e+00 4.5830e-05 4.4358e-06
3.4805e+00 4.2200e-05 4.5288e-06
3.4920e+00 4.1838e-05 4.5095e-06
3.5034e+00 6.2782e-05 4.7921e-06
3.5148e+00 6.2205e-05 4.6520e-06
3.5261e+00 6.6646e-05 4.6819e-06
3.5374e+00 6.4338e-05 4.7739e-06
3.5487e+00 7.8638e-05 5.0298e-06
3.5599e+00 8.7373e-05 5.1252e-06
3.5711e+00 9.3340e-05 4.9637e-06
3.5823e+00 1.0478e-04 5.3313e-06
3.5934e+00 1.1429e-04 5.2552e-06
3.6045e+00 1.1395e-04 5.1700e-06
3.6156e+00 1.2513e-04 5.3993e-06
3.6266e+00 1.3424e-04 5.4798e-06
3.6376e+00 1.5417e-04 5.6890e-06
3.6486e+00 1.7973e-04 5.7904e-06
3.6595e+00 2.0691e-04 5.9309e-06
3.6704e+00 2.2495e-04 5.9610e-06
3.6813e+00 2.4942e-04 6.0919e-06
3.6921e+00 2.4878e-04 6.2160e-06
3.7029e+00 2.6098e-04 6.3868e-06
3.7137e+00 2.7698e-04 6.3744e-06
3.7244e+00 2.8590e-04 6.5296e-06
3.7351e+00 2.7995e-04 6.6305e-06
3.7458e+00 3.1793e-04 6.7447e-06
3.7564e+00 3.5303e-04 6.9341e-06
3.7670e+00 3.7290e-04 7.1058e-06
3.7776e+00 3.3929e-04 6.8959e-06
3.7881e+00 3.2689e-04 6.9059e-06
3.7987e+00 3.6688e-04 7.3725e-06
3.8091e+00 4.5103e-04 7.7192e-06
3.8196e+00 4.8510e-04 7.7422e-06
3.8300e+00 5.3702e-04 7.9736e-06
3.8404e+00 4.9432e-04 7.9703e-06
3.8508e+00 4.2360e-04 7.5801e-06
3.8611e+00 4.6405e-04 7.8477e-06
3.8715e+00 5.0879e-04 8.0657e-06
3.8817e+00 5.0218e-04 8.0849e-06
3.8920e+00 5.1838e-04 8.1505e-06
3.9022e+00 5.4215e-04 8.2910e-06
3.9124e+00 5.8282e-04 8.6032e-06
3.9226e+00 6.2331e-04 8.8416e-06
3.9327e+00 6.4426e-04 8.9174e-06
3.9429e+00 6.6878e-04 9.0443e-06
3.9530e+00 6.9638e-04 9.2570e-06
3.9630e+00 7.3662e-04 9.3154e-06
3.9731e+00 7.2205e-04 9.4153e-06
3.9831e+00 7.4405e-04 9.4218e-06
3.9931e+00 8.3196e-04 1.0109e-05
4.0030e+00 8.3075e-04 1.0176e-05
4.0130e+00 8.2249e-04 1.0036e-05
4.0229e+00 8.8806e-04 1.0364e-05
4.0328e+00 9.0386e-04 1.0534e-05
4.0426e+00 8.9736e-04 1.0315e-05
4.0525e+00 9.7115e-04 1.0849e-05
4.0623e+00 1.0129e-03 1.1092e-05
4.0721e+00 1.0367e-03 1.1169e-05
4.0818e+00 1.0149e-03 1.1067e-05
4.0916e+00 1.0822e-03 1.1440e-05
4.1013e+00 1.1022e-03 1.1464e-05
4.1110e+00 1.0630e-03 1.1475e-05
4.1206e+00 1.0771e-03 1.1626e-05
4.1303e+00 1.1281e-03 1.1895e-05
4.1399e+00 1.1196e-03 1.1905e-05
4.1495e+00 1.0664e-03 1.1621e-05
4.1590e+00 1.0536e-03 1.1799e-05
4.1686e+00 1.1083e-03 1.2055e-05
4.1781e+00 1.0705e-03 1.1896e-05
4.1876e+00 9.1811e-04 1.1262e-05
4.1971e+00 7.8402e-04 1.0820e-05
4.2066e+00 7.1436e-04 1.0556e-05
4.2160e+00 6.0684e-04 1.0039e-05
4.2254e+00 4.8942e-04 9.9524e-06
4.2348e+00 4.5887e-04 9.8645e-06
4.2442e+00 4.6861e-04 9.6186e-06
4.2535e+00 4.8763e-04 9.7324e-06
4.2628e+00 4.8398e-04 9.6412e-06
4.2721e+00 4.6099e-04 9.7364e-06
4.2814e+00 4.7251e-04 9.8681e-06
4.2907e+00 5.1377e-04 1.0175e-05
4.2999e+00 5.0224e-04 1.0022e-05
4.3091e+00 4.6060e-04 9.9226e-06
4.3183e+00 4.9914e-04 1.0274e-05
