# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1442e+00 1.3870e-04 4.2232e-06
3.1568e+00 1.1482e-04 4.1768e-06
3.1694e+00 9.7202e-05 4.0930e-06
3.1820e+00 9.1719e-05 4.0929e-06
3.1945e+00 8.3933e-05 4.1511e-06
3.2070e+00 8.0510e-05 4.1401e-06
3.2194e+00 8.2314e-05 4.1429e-06
3.2318e+00 8.5707e-05 4.1876e-06
3.2441e+00 9.4898e-05 4.2801e-06
3.2564e+00 1.0453e-04 4.2494e-06
3.2687e+00 1.2165e-04 4.4369e-06
3.2809e+00 1.5414e-04 4.7346e-06
3.2930e+00 1.6952e-04 4.7524e-06
3.3051e+00 1.4243e-04 4.6416e-06
3.3172e+00 6.8888e-05 4.2373e-06
3.3292e+00 3.7220e-05 4.1275e-06
3.3412e+00 5.7931e-05 4.3402e-06
3.3531e+00 8.6735e-05 4.6587e-06
3.3650e+00 1.1682e-04 4.6930e-06
3.3769e+00 1.2505e-04 4.7761e-06
3.3887e+00 1.1684e-04 4.7967e-06
3.4005e+00 1.1219e-04 4.7894e-06
3.4122e+00 1.1815e-04 4.7667e-06
3.4239e+00 1.2120e-04 4.8847e-06
3.4348e+00 1.1358e-04 4.8361e-06
3.4464e+00 1.1218e-04 4.8645e-06
3.4579e+00 1.1829e-04 4.9858e-06
3.4695e+00 1.2265e-04 5.0360e-06
3.4810e+00 1.3263e-04 5.0474e-06
3.4924e+00 1.4302e-04 5.1313e-06
3.5039e+00 1.5910e-04 5.2445e-06
3.5152e+00 1.6682e-04 5.3224e-06
3.5266e+00 1.8708e-04 5.5603e-06
3.5379e+00 1.8719e-04 5.6483e-06
3.5492e+00 2.0081e-04 5.7149e-06
3.5604e+00 2.2790e-04 5.8538e-06
3.5716e+00 2.4724e-04 6.2777e-06
3.5828e+00 2.6170e-04 6.2910e-06
3.5939e+00 2.8477e-04 6.1900e-06
3.6050e+00 3.0455e-04 6.3820e-06
3.6161e+00 3.2200e-04 6.4689e-06
3.6271e+00 3.6024e-04 6.8051e-06
3.6381e+00 4.0160e-04 6.9542e-06
3.6491e+00 4.4156e-04 7.1999e-06
3.6600e+00 5.0379e-04 7.4438e-06
3.6709e+00 5.3856e-04 7.4142e-06
3.6818e+00 5.7320e-04 7.6962e-06
3.6926e+00 6.0676e-04 7.9291e-06
3.7034e+00 6.3513e-04 7.9790e-06
3.7142e+00 6.7501e-04 8.2533e-06
3.7249e+00 6.7359e-04 8.4116e-06
3.7356e+00 7.2538e-04 8.5578e-06
3.7463e+00 7.7933e-04 8.7894e-06
3.7569e+00 8.5742e-04 9.1745e-06
3.7675e+00 8.5357e-04 9.0451e-06
3.7781e+00 8.0899e-04 8.9482e-06
3.7887e+00 8.1578e-04 9.2128e-06
3.7992e+00 8.6469e-04 9.5541e-06
3.8097e+00 9.9639e-04 9.9733e-06
3.8201e+00 1.0721e-03 1.0209e-05
3.8306e+00 1.1498e-03 1.0626e-05
3.8410e+00 1.0699e-03 1.0489e-05
3.8514e+00 1.0282e-03 1.0353e-05
3.8617e+00 1.1129e-03 1.0610e-05
3.8720e+00 1.1945e-03 1.0916e-05
3.8823e+00 1.2074e-03 1.1058e-05
3.8926e+00 1.2282e-03 1.1067e-05
3.9028e+00 1.2851e-03 1.1505e-05
3.9130e+00 1.3021e-03 1.1526e-05
3.9232e+00 1.3265e-03 1.1552e-05
3.9333e+00 1.3897e-03 1.1825e-05
3.9434e+00 1.4507e-03 1.2106e-05
3.9535e+00 1.4929e-03 1.2189e-05
3.9636e+00 1.5169e-03 1.2434e-05
3.9737e+00 1.5052e-03 1.2351e-05
3.9837e+00 1.5363e-03 1.2746e-05
3.9937e+00 1.6327e-03 1.3098e-05
4.0036e+00 1.6661e-03 1.3237e-05
4.0136e+00 1.6690e-03 1.3283e-05
4.0235e+00 1.7572e-03 1.3752e-05
4.0334e+00 1.7308e-03 1.3446e-05
4.0432e+00 1.7790e-03 1.3838e-05
4.0531e+00 1.8244e-03 1.4053e-05
4.0629e+00 1.8723e-03 1.4200e-05
4.0727e+00 1.8811e-03 1.4226e-05
4.0824e+00 1.8642e-03 1.4132e-05
4.0922e+00 1.9416e-03 1.4492e-05
4.1019e+00 1.9269e-03 1.4627e-05
4.1116e+00 1.8809e-03 1.4421e-05
4.1212e+00 1.8738e-03 1.4503e-05
4.1309e+00 1.9023e-03 1.4662e-05
4.1405e+00 1.9080e-03 1.4976e-05
4.1501e+00 1.8810e-03 1.4995e-05
4.1597e+00 1.8289e-03 1.4895e-05
4.1692e+00 1.8312e-03 1.4869e-05
4.1787e+00 1.7458e-03 1.4523e-05
4.1882e+00 1.5643e-03 1.3874e-05
4.1977e+00 1.5011e-03 1.3759e-05
4.2072e+00 1.4029e-03 1.3418e-05
4.2166e+00 1.2261e-03 1.2948e-05
4.2260e+00 1.1114e-03 1.2402e-05
4.2354e+00 1.0887e-03 1.2339e-05
4.2448e+00 1.0867e-03 1.2377e-05
4.2542e+00 1.1103e-03 1.2366e-05
4.2635e+00 1.1581e-03 1.2662e-05
4.2728e+00 1.1088e-03 1.2650e-05
4.2821e+00 1.1446e-03 1.2988e-05
4.2913e+00 1.1824e-03 1.2961e-05
4.3006e+00 1.1197e-03 1.2786e-05
4.3098e+00 1.0903e-03 1.2510e-05
4.3190e+00 1.1474e-03 1.2774e-05
4.3282e+00 1.1960e-03 1.2993e-05
4.3373e+00 1.1538e-03 1.3183e-05
4.3465e+00 1.1188e-03 1.2949e-05
4.3556e+00 1.1581e-03 1.3219e-05
4.3647e+00 1.2377e-03 1.3399e-05
4.3738e+00 1.2748e-03 1.3579e-05
4.3828e+00 1.2569e-03 1.3624e-05
4.3919e+00 1.1638e-03 1.3388e-05
4.4009e+00 1.1122e-03 1.3327e-05
4.4099e+00 1.2371e-03 1.3940e-05
4.4189e+00 1.2245e-03 1.3841e-05
4.4278e+00 1.0316e-03 1.3316e-05
4.4368e+00 9.1524e-04 1.2793e-05
4.4457e+00 9.7523e-04 1.3017e-05
4.4546e+00 9.8364e-04 1.3019e-05
4.4635e+00 9.3798e-04 1.2972e-05
4.4723e+00 8.5849e-04 1.2768e-05
4.4812e+00 8.1287e-04 1.2553e-05
4.4900e+00 7.9739e-04 1.2500e-05
4.4988e+00 7.8134e-04 1.2952e-05
4.5076e+00 7.5820e-04 1.2549e-05
4.5164e+00 6.8137e-04 1.2292e-05
4.5251e+00 6.4843e-04 1.2422e-05
4.5339e+00 6.4608e-04 1.2239e-05
4.5426e+00 6.4055e-04 1.2179e-05
4.5513e+00 6.4849e-04 1.2286e-05
4.5600e+00 6.3761e-04 1.2205e-05
4.5686e+00 6.1615e-04 1.2334e-05
4.5773e+00 5.9978e-04 1.2291e-05
4.5859e+00 6.5653e-04 1.2505e-05
4.5945e+00 6.9026e-04 1.2862e-05
4.6031e+00 6.7556e-04 1.2898e-05
4.6117e+00 6.6320e-04 1.2672e-05
4.6202e+00 6.6880e-04 1.2896e-05
4.6288e+00 6.8327e-04 1.3110e-05
4.6373e+00 7.2434e-04 1.3336e-05
4.6458e+00 7.5853e-04 1.3726e-05
4.6543e+00 8.0479e-04 1.4232e-05
