# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5526e-01 1.5770e-06 1.2166e-06
9.6855e-01 3.3769e-06 1.1826e-06
9.8216e-01 5.0892e-06 1.1439e-06
9.9610e-01 7.7093e-06 1.1469e-06
1.0104e+00 1.2698e-05 1.1367e-06
1.0250e+00 2.1736e-05 1.1506e-06
1.0399e+00 3.0857e-05 1.2118e-06
1.0552e+00 3.9754e-05 1.2249e-06
1.0708e+00 4.4070e-05 1.1990e-06
1.0867e+00 3.1850e-05 1.1080e-06
1.1029e+00 1.2250e-05 9.9327e-07
1.1194e+00 2.6597e-06 9.1207e-07
1.1363e+00 2.1699e-06 8.8025e-07
1.1534e+00 9.6596e-07 8.8441e-07
1.1708e+00 7.9497e-07 8.6191e-07
1.1885e+00 3.4357e-06 8.7591e-07
1.2064e+00 9.4100e-06 8.9882e-07
1.2246e+00 2.4192e-05 9.9687e-07
1.2430e+00 4.7509e-05 1.1352e-06
1.2616e+00 7.3252e-05 1.2550e-06
1.2804e+00 6.6364e-05 1.1966e-06
1.2994e+00 4.0119e-05 1.1056e-06
1.3185e+00 1.4461e-05 9.9829e-07
1.3379e+00 1.5922e-06 9.6795e-07
1.3573e+00 1.2126e-06 9.8310e-07
1.3769e+00 9.5839e-07 9.6442e-07
1.3966e+00 -2.3479e-07 1.0242e-06
1.4163e+00 1.6829e-06 1.0515e-06
1.4362e+00 -1.1292e-06 1.0253e-06
1.4561e+00 1.1271e-06 1.0407e-06
1.4761e+00 6.5001e-07 1.0780e-06
1.4961e+00 2.5426e-06 1.1109e-06
1.5161e+00 4.9684e-06 1.1578e-06
1.5361e+00 1.4141e-05 1.2430e-06
1.5562e+00 3.3830e-05 1.3600e-06
1.5762e+00 5.2792e-05 1.4992e-06
1.5962e+00 4.5382e-05 1.4892e-06
1.6162e+00 1.8575e-05 1.3613e-06
1.6362e+00 5.1872e-06 1.3327e-06
1.6561e+00 3.0535e-06 1.3827e-06
1.6760e+00 3.2785e-06 1.3745e-06
1.6958e+00 2.5857e-06 1.4293e-06
1.7155e+00 -2.4544e-07 1.4174e-06
1.7352e+00 4.1790e-07 1.4727e-06
1.7548e+00 3.5494e-06 1.5179e-06
1.7744e+00 1.3880e-06 1.4975e-06
1.7938e+00 2.6032e-06 1.5816e-06
1.8132e+00 2.1208e-06 1.5604e-06
1.8325e+00 -8.2843e-07 1.5655e-06
1.8517e+00 1.3380e-06 1.6194e-06
1.8708e+00 3.3540e-06 1.6093e-06
1.8898e+00 -4.1568e-07 1.5994e-06
1.9087e+00 5.1703e-06 1.6758e-06
1.9276e+00 3.3347e-06 1.7177e-06
1.9463e+00 1.5278e-07 1.7047e-06
1.9649e+00 2.3556e-06 1.7691e-06
1.9834e+00 5.6777e-06 1.8246e-06
2.0019e+00 4.1640e-06 1.8094e-06
2.0202e+00 9.4314e-06 1.8833e-06
2.0384e+00 1.2995e-05 1.8770e-06
2.0565e+00 1.4429e-05 1.8964e-06
2.0746e+00 1.6090e-05 1.9316e-06
2.0925e+00 1.8278e-05 1.9604e-06
2.1103e+00 1.6415e-05 1.9674e-06
2.1280e+00 1.2677e-05 2.0102e-06
2.1457e+00 1.0917e-05 2.0057e-06
2.1632e+00 6.7757e-06 1.9824e-06
2.1806e+00 7.9191e-06 2.0957e-06
2.1979e+00 4.7750e-06 2.0878e-06
2.2152e+00 -7.4567e-07 2.0610e-06
2.2323e+00 3.3025e-06 2.1333e-06
2.2493e+00 6.5368e-06 2.2156e-06
2.2663e+00 -1.7098e-07 2.1709e-06
2.2831e+00 -7.8306e-08 2.1749e-06
2.2998e+00 6.7801e-07 2.1230e-06
2.3165e+00 6.2112e-07 2.1138e-06
2.3331e+00 1.9334e-06 2.2034e-06
2.3495e+00 3.3363e-06 2.1832e-06
2.3659e+00 1.2586e-06 2.1707e-06
2.3822e+00 3.2581e-06 2.2118e-06
2.3973e+00 -1.0539e-07 2.2372e-06
2.4134e+00 -2.1393e-06 2.2218e-06
2.4295e+00 1.8910e-06 2.2801e-06
2.4454e+00 4.0325e-06 2.3817e-06
2.4613e+00 6.9116e-06 2.3467e-06
2.4770e+00 7.2443e-06 2.4120e-06
2.4927e+00 1.1378e-05 2.4725e-06
2.5083e+00 8.5337e-06 2.3820e-06
2.5239e+00 6.0471e-06 2.4433e-06
2.5393e+00 1.1075e-06 2.3943e-06
2.5547e+00 -9.8119e-07 2.3953e-06
2.5700e+00 2.4411e-06 2.4366e-06
2.5852e+00 4.5878e-06 2.4890e-06
2.6003e+00 1.8593e-07 2.4415e-06
2.6154e+00 -5.9295e-07 2.4467e-06
2.6303e+00 4.8498e-06 2.5462e-06
2.6452e+00 7.5110e-06 2.5805e-06
2.6601e+00 3.8525e-07 2.5875e-06
2.6748e+00 2.0693e-06 2.6314e-06
2.6895e+00 3.1916e-06 2.6797e-06
2.7041e+00 -3.5889e-07 2.6373e-06
2.7187e+00 2.7386e-06 2.7306e-06
2.7331e+00 1.6352e-07 2.7639e-06
2.7475e+00 1.2383e-06 2.8757e-06
2.7619e+00 -1.1267e-06 2.9059e-06
2.7762e+00 1.0554e-06 2.8704e-06
2.7904e+00 1.2239e-06 2.8995e-06
2.8045e+00 4.7381e-06 3.0370e-06
2.8186e+00 8.8023e-06 3.0661e-06
2.8326e+00 4.9016e-06 3.0914e-06
2.8465e+00 7.8148e-06 3.1462e-06
2.8604e+00 1.1969e-05 3.1631e-06
2.8742e+00 1.6896e-05 3.2127e-06
2.8880e+00 2.1126e-05 3.3115e-06
2.9017e+00 1.8747e-05 3.2499e-06
2.9153e+00 2.1390e-05 3.2906e-06
2.9289e+00 3.5992e-05 3.3757e-06
2.9424e+00 3.5686e-05 3.4836e-06
2.9559e+00 3.8621e-05 3.4885e-06
2.9693e+00 4.3344e-05 3.5114e-06
2.9826e+00 5.3310e-05 3.6258e-06
2.9959e+00 4.2297e-05 3.5530e-06
3.0091e+00 4.4301e-05 3.6661e-06
3.0223e+00 6.0080e-05 3.7126e-06
3.0354e+00 6.1357e-05 3.7387e-06
3.0485e+00 5.6392e-05 3.6702e-06
3.0615e+00 6.6449e-05 3.7775e-06
3.0745e+00 6.9275e-05 3.8134e-06
3.0874e+00 5.5291e-05 3.8091e-06
3.1003e+00 4.6535e-05 3.8938e-06
3.1131e+00 3.7334e-05 3.8524e-06
3.1258e+00 2.5790e-05 3.8647e-06
3.1385e+00 2.0896e-05 3.6911e-06
3.1512e+00 1.8868e-05 3.7811e-06
3.1638e+00 1.3998e-05 3.6988e-06
3.1764e+00 9.5874e-06 3.6612e-06
3.1889e+00 -1.3835e-06 3.8076e-06
3.2014e+00 5.9433e-06 3.7797e-06
3.2138e+00 9.3870e-06 3.7887e-06
3.2261e+00 1.1543e-05 3.8303e-06
3.2385e+00 3.0440e-06 3.8887e-06
3.2508e+00 2.1214e-06 3.8294e-06
3.2630e+00 5.8275e-06 3.9392e-06
3.2752e+00 1.1156e-05 4.0465e-06
3.2873e+00 1.3652e-05 4.0375e-06
3.2994e+00 1.0958e-05 3.9654e-06
3.3115e+00 7.1616e-06 3.9804e-06
3.3235e+00 8.6223e-06 4.1094e-06
3.3355e+00 5.5949e-06 4.1440e-06
3.3474e+00 4.2825e-06 4.1797e-06
3.3593e+00 9.6864e-06 4.1012e-06
3.3711e+00 8.5539e-06 4.2309e-06
3.3829e+00 9.1654e-06 4.2601e-06
3.3947e+00 6.6584e-06 4.3030e-06
3.4064e+00 2.2101e-06 4.2545e-06
3.4181e+00 3.8716e-06 4.3749e-06
3.4297e+00 5.6202e-06 4.2849e-06
3.4413e+00 5.0430e-07 4.3240e-06
3.4529e+00 9.7063e-06 4.4282e-06
3.4644e+00 1.4941e-05 4.4988e-06
3.4759e+00 1.5262e-05 4.4650e-06
3.4874e+00 1.8575e-05 4.5497e-06
3.4988e+00 2.4025e-05 4.6224e-06
3.5102e+00 2.4347e-05 4.6108e-06
3.5215e+00 2.4207e-05 4.7033e-06
3.5328e+00 2.0654e-05 4.8446e-06
3.5441e+00 1.9503e-05 4.8422e-06
3.5553e+00 3.4461e-05 5.0285e-06
3.5665e+00 4.2989e-05 5.2002e-06
3.5776e+00 3.4849e-05 4.8639e-06
3.5888e+00 3.7272e-05 4.8684e-06
3.5998e+00 3.4716e-05 5.0188e-06
3.6109e+00 4.4951e-05 5.1961e-06
3.6219e+00 5.4487e-05 5.3785e-06
3.6329e+00 6.1095e-05 5.4763e-06
3.6439e+00 6.5884e-05 5.4372e-06
3.6548e+00 8.8852e-05 5.4509e-06
3.6657e+00 9.3334e-05 5.4592e-06
3.6765e+00 1.0824e-04 5.7260e-06
3.6873e+00 1.0046e-04 5.6306e-06
3.6981e+00 1.0801e-04 5.6819e-06
3.7089e+00 1.0726e-04 5.7372e-06
3.7196e+00 1.1139e-04 5.8734e-06
3.7303e+00 1.2210e-04 5.9252e-06
3.7409e+00 1.3102e-04 6.1271e-06
3.7516e+00 1.6419e-04 6.2237e-06
3.7622e+00 1.7111e-04 6.2284e-06
3.7727e+00 1.4703e-04 6.2620e-06
3.7833e+00 1.3362e-04 6.2011e-06
