# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5623e-01 6.3906e-06 1.2524e-06
9.6954e-01 1.0828e-05 1.2459e-06
9.8318e-01 1.6320e-05 1.2216e-06
9.9715e-01 2.3093e-05 1.2535e-06
1.0114e+00 3.2380e-05 1.2567e-06
1.0261e+00 4.6231e-05 1.2847e-06
1.0410e+00 6.1734e-05 1.3303e-06
1.0563e+00 7.7488e-05 1.4290e-06
1.0719e+00 8.3911e-05 1.4134e-06
1.0879e+00 6.6405e-05 1.3111e-06
1.1041e+00 2.4551e-05 1.0780e-06
1.1207e+00 6.9231e-06 9.6813e-07
1.1375e+00 4.1126e-06 9.7895e-07
1.1547e+00 2.1009e-06 9.2435e-07
1.1721e+00 3.6340e-06 8.7585e-07
1.1898e+00 1.3724e-05 9.3233e-07
1.2077e+00 3.4963e-05 1.0618e-06
1.2259e+00 7.8457e-05 1.2771e-06
1.2443e+00 1.2790e-04 1.4902e-06
1.2630e+00 1.6215e-04 1.6431e-06
1.2818e+00 1.4403e-04 1.5867e-06
1.3008e+00 9.2168e-05 1.3442e-06
1.3200e+00 4.3918e-05 1.1293e-06
1.3393e+00 1.1686e-05 1.0020e-06
1.3587e+00 1.0224e-06 9.6730e-07
1.3783e+00 2.0180e-06 9.8047e-07
1.3980e+00 3.7445e-07 1.0127e-06
1.4178e+00 1.8196e-06 1.0763e-06
1.4377e+00 3.1916e-06 1.0720e-06
1.4576e+00 3.6931e-06 1.1031e-06
1.4775e+00 7.7197e-06 1.1869e-06
1.4976e+00 1.2466e-05 1.2257e-06
1.5176e+00 2.7172e-05 1.3170e-06
1.5376e+00 5.1905e-05 1.4702e-06
1.5577e+00 1.0213e-04 1.6897e-06
1.5777e+00 1.3969e-04 1.8462e-06
1.5977e+00 1.0338e-04 1.7288e-06
1.6177e+00 4.0124e-05 1.5067e-06
1.6377e+00 1.3711e-05 1.4081e-06
1.6576e+00 9.0592e-06 1.4413e-06
1.6774e+00 9.4570e-06 1.4650e-06
1.6972e+00 6.8848e-06 1.4751e-06
1.7170e+00 9.0156e-06 1.5510e-06
1.7367e+00 8.5436e-06 1.5100e-06
1.7563e+00 9.9159e-06 1.5324e-06
1.7758e+00 8.5208e-06 1.5180e-06
1.7952e+00 4.2970e-06 1.5014e-06
1.8146e+00 2.3193e-06 1.5391e-06
1.8339e+00 3.2825e-06 1.5821e-06
1.8531e+00 2.8658e-06 1.6042e-06
1.8709e+00 -8.8940e-07 1.7379e-06
1.8899e+00 4.8524e-06 1.6807e-06
1.9088e+00 7.3344e-06 1.6752e-06
1.9277e+00 7.8501e-06 1.7038e-06
1.9464e+00 7.6474e-06 1.7140e-06
1.9650e+00 1.0360e-05 1.8574e-06
1.9835e+00 1.2738e-05 1.8349e-06
2.0020e+00 2.1871e-05 1.8744e-06
2.0203e+00 3.0969e-05 1.9597e-06
2.0385e+00 3.9438e-05 2.0111e-06
2.0566e+00 4.9208e-05 2.0817e-06
2.0747e+00 5.5453e-05 2.1371e-06
2.0926e+00 5.3659e-05 2.1835e-06
2.1104e+00 4.7925e-05 2.1923e-06
2.1281e+00 4.7135e-05 2.2010e-06
2.1457e+00 3.5579e-05 2.1661e-06
2.1633e+00 2.4536e-05 2.1433e-06
2.1807e+00 2.3412e-05 2.0753e-06
2.1980e+00 1.4097e-05 2.0281e-06
2.2152e+00 5.9285e-06 2.0557e-06
2.2494e+00 7.5164e-06 2.1205e-06
2.2663e+00 4.0500e-06 2.1803e-06
2.2832e+00 3.5122e-06 2.1363e-06
2.2999e+00 2.0812e-06 2.1860e-06
2.3166e+00 2.2189e-07 2.3178e-06
2.3331e+00 2.1519e-06 2.2279e-06
2.3496e+00 2.2035e-06 2.1582e-06
2.3660e+00 2.7618e-06 2.1678e-06
2.3823e+00 4.0885e-06 2.2608e-06
2.3985e+00 1.9828e-06 2.3108e-06
2.4146e+00 3.9919e-06 2.2831e-06
2.4306e+00 2.3553e-06 2.3223e-06
2.4465e+00 6.1869e-06 2.3383e-06
2.4624e+00 1.4427e-05 2.3571e-06
2.4782e+00 1.0453e-05 2.3272e-06
2.4938e+00 1.3914e-05 2.3054e-06
2.5094e+00 8.0585e-06 2.3809e-06
2.5250e+00 4.0286e-06 2.3724e-06
2.5404e+00 8.0361e-06 2.4075e-06
2.5558e+00 3.5444e-06 2.3813e-06
2.5710e+00 4.5871e-06 2.4654e-06
2.5862e+00 2.5979e-06 2.5138e-06
2.6014e+00 2.9257e-06 2.6185e-06
2.6164e+00 2.2167e-06 2.6500e-06
2.6314e+00 7.9505e-06 2.5256e-06
2.6463e+00 1.4930e-05 2.5562e-06
2.6611e+00 9.3541e-06 2.6242e-06
2.6759e+00 3.8245e-06 2.6351e-06
2.6905e+00 -6.1118e-07 2.7282e-06
2.7052e+00 8.8371e-06 2.7106e-06
2.7197e+00 6.1408e-06 2.6546e-06
2.7342e+00 5.5966e-06 2.7949e-06
2.7486e+00 6.7158e-06 2.9083e-06
2.7629e+00 7.0171e-06 2.9450e-06
2.7772e+00 5.5692e-06 2.9852e-06
2.7914e+00 8.7917e-06 2.9408e-06
2.8055e+00 1.0367e-05 2.8987e-06
2.8196e+00 8.1711e-06 2.9514e-06
2.8336e+00 9.4971e-06 3.1003e-06
2.8475e+00 1.3208e-05 3.1330e-06
2.8614e+00 1.8381e-05 3.0734e-06
2.8752e+00 1.2510e-05 3.2494e-06
2.8889e+00 1.9998e-05 3.3945e-06
2.9026e+00 2.2825e-05 3.2850e-06
2.9163e+00 2.6322e-05 3.3204e-06
2.9298e+00 3.5220e-05 3.4023e-06
2.9433e+00 4.4529e-05 3.5267e-06
2.9568e+00 4.6175e-05 3.5688e-06
2.9702e+00 4.7905e-05 3.5719e-06
2.9835e+00 4.5658e-05 3.5972e-06
2.9968e+00 4.2520e-05 3.5158e-06
3.0101e+00 4.0685e-05 3.6249e-06
3.0232e+00 6.2893e-05 3.8308e-06
3.0364e+00 6.9697e-05 3.7864e-06
3.0494e+00 6.5015e-05 3.7487e-06
3.0624e+00 6.2816e-05 3.6786e-06
3.0754e+00 5.9518e-05 3.8008e-06
3.0883e+00 5.3393e-05 3.8158e-06
3.1012e+00 4.3847e-05 3.6604e-06
3.1140e+00 3.7928e-05 3.8670e-06
3.1267e+00 2.6735e-05 3.8260e-06
3.1394e+00 2.2167e-05 3.8740e-06
3.1521e+00 2.1117e-05 3.7735e-06
3.1647e+00 1.7511e-05 3.8020e-06
3.1772e+00 1.6336e-05 3.7935e-06
3.1897e+00 8.4729e-06 3.7973e-06
3.2022e+00 9.1629e-06 3.8834e-06
3.2146e+00 5.4678e-06 3.9220e-06
3.2270e+00 6.5999e-06 3.7806e-06
3.2393e+00 5.7343e-06 3.7683e-06
3.2516e+00 1.3660e-06 3.9895e-06
3.2638e+00 8.2197e-06 3.9581e-06
3.2760e+00 1.0126e-05 3.9784e-06
3.2881e+00 1.2566e-05 4.0089e-06
3.3002e+00 8.7896e-06 3.9320e-06
3.3123e+00 4.5097e-06 4.0688e-06
3.3243e+00 1.1094e-05 4.0852e-06
3.3363e+00 1.1132e-05 4.0988e-06
3.3482e+00 1.0945e-05 4.2571e-06
3.3601e+00 1.5582e-05 4.3409e-06
3.3719e+00 7.7400e-06 4.2002e-06
3.3837e+00 5.6883e-06 4.2300e-06
3.3955e+00 9.3411e-06 4.2637e-06
3.4072e+00 6.2720e-06 4.3486e-06
3.4189e+00 5.4158e-06 4.3446e-06
3.4305e+00 7.1708e-06 4.4158e-06
3.4421e+00 1.3081e-05 4.4115e-06
3.4537e+00 1.6514e-05 4.4210e-06
3.4652e+00 7.5136e-06 4.4860e-06
3.4767e+00 4.1331e-06 4.5607e-06
3.4881e+00 5.4278e-06 4.4834e-06
3.4995e+00 1.8973e-05 4.9382e-06
3.5109e+00 1.5956e-05 4.8666e-06
3.5223e+00 1.9099e-05 4.5615e-06
3.5336e+00 1.9197e-05 4.8237e-06
3.5448e+00 2.8924e-05 5.1104e-06
3.5560e+00 3.6554e-05 5.0961e-06
3.5672e+00 3.6866e-05 4.8851e-06
3.5784e+00 4.7100e-05 5.2006e-06
3.5895e+00 5.0755e-05 5.1043e-06
3.6006e+00 3.8609e-05 5.0285e-06
3.6116e+00 4.5402e-05 5.3317e-06
3.6227e+00 5.6896e-05 5.5529e-06
3.6336e+00 5.6903e-05 5.4062e-06
3.6446e+00 6.4757e-05 5.5846e-06
3.6555e+00 8.4518e-05 5.7216e-06
3.6664e+00 9.4073e-05 5.5725e-06
3.6772e+00 9.7272e-05 5.5929e-06
3.6881e+00 9.8292e-05 5.8320e-06
3.6988e+00 9.1877e-05 5.6293e-06
3.7096e+00 9.0954e-05 5.6114e-06
3.7203e+00 9.3568e-05 5.9402e-06
3.7310e+00 9.7121e-05 5.9618e-06
3.7417e+00 1.1605e-04 5.9650e-06
3.7523e+00 1.2974e-04 6.0317e-06
3.7629e+00 1.3787e-04 6.2597e-06
3.7734e+00 1.1964e-04 6.2620e-06
3.7840e+00 1.2482e-04 6.1028e-06
3.7945e+00 1.3478e-04 6.2332e-06
3.8050e+00 1.6367e-04 6.4733e-06
3.8154e+00 1.9762e-04 6.4872e-06
3.8258e+00 2.2931e-04 6.7588e-06
3.8362e+00 1.9829e-04 6.6152e-06
3.8466e+00 1.4995e-04 6.2750e-06
3.8569e+00 1.7227e-04 6.4912e-06
3.8672e+00 1.8998e-04 6.7163e-06
3.8775e+00 1.9594e-04 6.9304e-06
3.8877e+00 2.0426e-04 6.9721e-06
3.8979e+00 2.0314e-04 6.9639e-06
3.9081e+00 2.2291e-04 7.2829e-06
3.9183e+00 2.3487e-04 7.1954e-06
3.9284e+00 2.4677e-04 7.4919e-06
3.9385e+00 2.7424e-04 7.6354e-06
3.9486e+00 2.8255e-04 7.4267e-06
3.9587e+00 3.0059e-04 7.6880e-06
3.9687e+00 2.8590e-04 7.8739e-06
3.9787e+00 2.9335e-04 7.7290e-06
3.9887e+00 3.4700e-04 8.1356e-06
3.9986e+00 3.5209e-04 8.0707e-06
4.0085e+00 3.4233e-04 8.2082e-06
4.0184e+00 3.7634e-04 8.2409e-06
4.0283e+00 3.8309e-04 8.4080e-06
4.0381e+00 3.4863e-04 8.2791e-06
4.0480e+00 4.0326e-04 8.6774e-06
4.0578e+00 4.2420e-04 8.8009e-06
4.0675e+00 4.4099e-04 8.8977e-06
4.0773e+00 4.5277e-04 8.9921e-06
4.0870e+00 4.8598e-04 9.2425e-06
4.0967e+00 4.9825e-04 9.2762e-06
4.1064e+00 4.7251e-04 9.0416e-06
4.1160e+00 4.7645e-04 9.3975e-06
4.1257e+00 5.1828e-04 9.5874e-06
4.1353e+00 5.2981e-04 9.7197e-06
4.1448e+00 4.7433e-04 9.5987e-06
4.1544e+00 4.4803e-04 9.6590e-06
4.1639e+00 5.2109e-04 9.9777e-06
4.1734e+00 5.5025e-04 1.0079e-05
4.1829e+00 4.7850e-04 9.5759e-06
