# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1347e+00 1.8400e-04 3.3632e-07
3.1473e+00 1.4068e-04 3.0799e-07
3.1600e+00 1.1991e-04 2.9900e-07
3.1725e+00 1.0133e-04 2.7590e-07
3.1851e+00 8.9645e-05 2.5963e-07
3.1975e+00 7.9328e-05 2.6859e-07
3.2100e+00 7.3186e-05 2.7346e-07
3.2224e+00 7.4535e-05 2.7545e-07
3.2347e+00 7.5913e-05 2.5005e-07
3.2470e+00 8.5192e-05 2.6136e-07
3.2593e+00 1.0185e-04 3.5324e-07
3.2715e+00 1.2657e-04 4.5615e-07
3.2836e+00 1.5402e-04 5.5682e-07
3.2957e+00 1.6135e-04 6.2104e-07
3.3078e+00 1.1089e-04 4.6722e-07
3.3198e+00 3.7249e-05 2.3679e-07
3.3318e+00 2.9780e-05 2.0504e-07
3.3438e+00 6.5271e-05 2.6279e-07
3.3557e+00 1.0313e-04 3.3131e-07
3.3675e+00 1.2233e-04 3.5979e-07
3.3793e+00 1.1867e-04 3.6051e-07
3.3911e+00 1.1232e-04 3.5144e-07
3.4029e+00 1.0992e-04 3.3881e-07
3.4146e+00 1.0930e-04 3.2793e-07
3.4262e+00 1.0890e-04 3.2561e-07
3.4378e+00 1.0862e-04 3.3223e-07
3.4494e+00 1.1478e-04 3.6427e-07
3.4609e+00 1.2017e-04 3.7736e-07
3.4724e+00 1.1989e-04 3.8651e-07
3.4839e+00 1.3299e-04 4.9842e-07
3.4953e+00 1.5232e-04 7.1896e-07
3.5060e+00 1.7917e-04 7.8178e-07
3.5173e+00 1.9418e-04 7.7504e-07
3.5286e+00 1.9370e-04 8.6760e-07
3.5399e+00 2.0167e-04 8.3979e-07
3.5512e+00 2.4239e-04 7.4941e-07
3.5624e+00 2.7749e-04 6.5287e-07
3.5735e+00 2.8631e-04 6.6306e-07
3.5847e+00 2.9963e-04 7.3454e-07
3.5958e+00 3.1710e-04 9.6610e-07
3.6068e+00 3.1703e-04 1.1139e-06
3.6179e+00 3.6105e-04 1.3978e-06
3.6289e+00 4.2043e-04 1.7162e-06
3.6398e+00 4.7109e-04 1.9086e-06
3.6508e+00 5.4130e-04 2.0909e-06
3.6617e+00 6.0421e-04 2.1157e-06
3.6725e+00 6.5197e-04 2.0689e-06
3.6834e+00 7.0825e-04 1.6798e-06
3.6942e+00 7.5353e-04 1.6788e-06
3.7049e+00 7.9076e-04 1.7678e-06
3.7157e+00 7.8720e-04 1.8492e-06
3.7264e+00 8.0158e-04 1.5801e-06
3.7370e+00 8.9161e-04 1.1787e-06
3.7477e+00 9.8837e-04 1.0805e-06
3.7583e+00 1.0828e-03 1.2963e-06
3.7689e+00 1.0246e-03 1.3181e-06
3.7794e+00 9.7003e-04 1.1853e-06
3.7900e+00 1.0405e-03 1.2329e-06
3.8004e+00 1.2195e-03 1.7413e-06
3.8109e+00 1.3517e-03 2.4077e-06
3.8213e+00 1.4929e-03 3.7567e-06
3.8317e+00 1.5633e-03 4.2192e-06
3.8421e+00 1.3393e-03 3.6428e-06
3.8524e+00 1.2971e-03 3.6087e-06
3.8628e+00 1.4533e-03 4.1741e-06
3.8731e+00 1.5419e-03 4.4648e-06
3.8833e+00 1.5937e-03 4.6067e-06
3.8935e+00 1.6547e-03 4.6491e-06
3.9037e+00 1.6763e-03 4.6395e-06
3.9139e+00 1.7458e-03 4.6365e-06
3.9241e+00 1.8227e-03 4.7219e-06
3.9342e+00 1.9475e-03 4.8290e-06
3.9443e+00 2.0159e-03 4.9471e-06
3.9543e+00 2.0371e-03 4.9673e-06
3.9644e+00 2.1387e-03 5.1316e-06
3.9744e+00 2.0980e-03 4.7882e-06
3.9844e+00 2.2646e-03 5.2351e-06
3.9944e+00 2.4356e-03 5.9737e-06
4.0043e+00 2.4014e-03 5.9721e-06
4.0142e+00 2.4855e-03 5.5731e-06
4.0241e+00 2.5263e-03 6.2055e-06
4.0339e+00 2.5907e-03 6.5721e-06
4.0438e+00 2.6821e-03 6.6763e-06
4.0536e+00 2.8282e-03 7.4628e-06
4.0634e+00 2.8893e-03 7.1002e-06
4.0731e+00 2.9203e-03 6.7608e-06
4.0829e+00 3.0037e-03 6.7418e-06
4.0926e+00 3.0799e-03 8.0939e-06
4.1023e+00 3.0722e-03 6.9392e-06
4.1119e+00 2.9970e-03 6.1278e-06
4.1216e+00 3.0833e-03 6.2962e-06
4.1312e+00 3.1182e-03 6.7196e-06
4.1408e+00 3.0470e-03 8.6901e-06
4.1503e+00 2.9044e-03 8.6201e-06
4.1599e+00 2.9945e-03 9.2215e-06
4.1694e+00 3.0865e-03 9.0943e-06
4.1789e+00 2.9012e-03 8.6186e-06
4.1884e+00 2.5114e-03 7.7857e-06
4.1978e+00 2.4311e-03 7.5545e-06
4.2073e+00 2.2825e-03 6.6189e-06
4.2167e+00 1.9422e-03 4.1715e-06
4.2261e+00 1.7110e-03 3.0595e-06
4.2354e+00 1.7166e-03 3.1884e-06
4.2448e+00 1.7620e-03 4.0823e-06
4.2541e+00 1.8608e-03 4.6478e-06
4.2634e+00 1.8375e-03 4.0873e-06
4.2727e+00 1.8103e-03 3.6124e-06
4.2819e+00 1.9833e-03 3.5721e-06
4.2912e+00 1.9854e-03 3.8567e-06
4.3004e+00 1.8323e-03 3.7775e-06
4.3096e+00 1.7809e-03 2.7121e-06
4.3188e+00 1.9495e-03 2.6040e-06
4.3279e+00 2.0249e-03 2.6264e-06
4.3371e+00 1.8858e-03 2.5731e-06
4.3462e+00 1.9154e-03 2.6743e-06
4.3553e+00 2.0567e-03 3.5943e-06
4.3643e+00 2.1817e-03 4.0519e-06
4.3734e+00 2.2901e-03 3.3300e-06
4.3824e+00 2.1775e-03 3.3834e-06
4.3914e+00 1.9646e-03 3.3618e-06
4.4004e+00 2.1126e-03 4.2506e-06
4.4094e+00 2.4307e-03 3.7331e-06
4.4183e+00 2.2141e-03 4.0933e-06
4.4273e+00 1.7803e-03 2.8928e-06
4.4362e+00 1.7873e-03 2.4618e-06
4.4451e+00 1.8741e-03 2.7690e-06
4.4540e+00 1.8423e-03 3.2110e-06
4.4628e+00 1.7143e-03 3.2615e-06
4.4717e+00 1.5631e-03 3.1611e-06
4.4805e+00 1.5428e-03 3.1542e-06
4.4893e+00 1.5206e-03 3.4487e-06
4.4981e+00 1.4279e-03 3.3403e-06
4.5068e+00 1.3582e-03 3.4334e-06
4.5156e+00 1.2506e-03 3.2766e-06
4.5243e+00 1.1638e-03 2.7251e-06
4.5330e+00 1.1637e-03 2.1799e-06
4.5417e+00 1.1835e-03 1.8013e-06
4.5504e+00 1.1654e-03 1.7375e-06
4.5590e+00 1.1478e-03 1.6902e-06
4.5677e+00 1.0572e-03 1.5673e-06
4.5763e+00 1.0804e-03 1.5655e-06
4.5849e+00 1.1932e-03 1.6190e-06
4.5935e+00 1.2515e-03 1.7602e-06
4.6021e+00 1.2555e-03 1.7682e-06
4.6106e+00 1.1967e-03 1.9011e-06
4.6191e+00 1.1403e-03 1.8364e-06
4.6277e+00 1.2089e-03 2.2025e-06
4.6362e+00 1.3204e-03 2.4520e-06
4.6447e+00 1.3649e-03 3.1553e-06
4.6531e+00 1.5000e-03 4.1362e-06
4.6616e+00 1.7730e-03 4.9581e-06
4.6700e+00 1.6903e-03 4.0823e-06
4.6784e+00 1.5142e-03 4.1668e-06
4.6868e+00 1.6535e-03 4.4733e-06
4.6952e+00 1.6039e-03 4.2918e-06
4.7036e+00 1.4829e-03 3.2912e-06
4.7119e+00 1.3110e-03 2.7106e-06
4.7203e+00 1.2892e-03 2.6168e-06
4.7286e+00 1.2192e-03 2.5144e-06
4.7369e+00 1.3522e-03 2.8299e-06
4.7452e+00 1.4327e-03 3.0642e-06
4.7535e+00 1.4156e-03 2.8964e-06
4.7617e+00 1.3236e-03 3.0606e-06
4.7700e+00 1.2333e-03 2.9413e-06
4.7782e+00 1.1048e-03 2.6284e-06
4.7864e+00 1.1539e-03 2.3321e-06
4.7946e+00 1.3940e-03 2.1555e-06
4.8028e+00 1.4456e-03 2.1725e-06
4.8109e+00 1.3301e-03 2.3498e-06
4.8191e+00 1.3788e-03 2.0290e-06
4.8272e+00 1.4429e-03 1.9129e-06
4.8353e+00 1.3075e-03 1.7519e-06
4.8434e+00 1.3016e-03 1.6971e-06
4.8515e+00 1.4508e-03 1.7602e-06
4.8596e+00 1.5247e-03 2.1720e-06
4.8677e+00 1.5281e-03 2.5755e-06
4.8757e+00 1.5403e-03 3.2497e-06
4.8838e+00 1.5376e-03 2.9605e-06
4.8918e+00 1.4545e-03 3.4330e-06
4.8998e+00 1.4795e-03 3.7521e-06
4.9078e+00 1.6267e-03 4.1976e-06
4.9157e+00 1.6899e-03 4.8111e-06
4.9237e+00 1.6039e-03 4.7471e-06
4.9316e+00 1.4314e-03 4.2874e-06
4.9396e+00 1.4710e-03 4.1289e-06
4.9475e+00 1.3444e-03 3.2056e-06
4.9554e+00 1.2459e-03 2.6426e-06
4.9633e+00 1.5286e-03 3.0385e-06
4.9712e+00 1.7067e-03 2.7161e-06
4.9790e+00 1.7871e-03 2.9583e-06
4.9869e+00 1.8386e-03 2.6136e-06
4.9947e+00 1.7913e-03 2.1745e-06
5.0025e+00 1.7738e-03 2.1214e-06
5.0103e+00 1.4157e-03 1.8116e-06
5.0181e+00 1.1562e-03 1.5902e-06
5.0259e+00 1.4552e-03 1.9847e-06
5.0337e+00 1.7141e-03 2.6978e-06
5.0415e+00 1.7394e-03 2.7282e-06
5.0492e+00 1.8053e-03 3.0707e-06
5.0569e+00 1.7392e-03 2.9231e-06
5.0646e+00 1.8683e-03 3.2516e-06
5.0723e+00 1.6480e-03 2.9267e-06
5.0800e+00 1.3739e-03 2.8806e-06
5.0877e+00 1.6685e-03 3.6358e-06
5.0954e+00 1.7984e-03 4.4118e-06
5.1030e+00 1.5707e-03 3.8570e-06
5.1107e+00 1.5039e-03 4.0282e-06
5.1183e+00 1.7558e-03 5.9222e-06
5.1259e+00 1.5290e-03 6.5304e-06
5.1335e+00 1.1917e-03 6.1063e-06
5.1411e+00 9.3733e-04 5.0147e-06
5.1487e+00 1.1224e-03 5.9677e-06
5.1562e+00 1.3086e-03 7.2025e-06
5.1638e+00 1.3451e-03 6.7385e-06
5.1713e+00 1.3361e-03 6.6199e-06
