# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.1407e+00 1.2841e-05 2.7412e-06
3.1533e+00 8.9520e-06 2.7356e-06
3.1659e+00 8.3562e-06 2.7831e-06
3.1785e+00 7.1770e-06 2.8584e-06
3.1910e+00 6.7206e-06 2.8520e-06
3.2035e+00 4.7454e-06 2.8047e-06
3.2159e+00 2.1124e-06 2.8512e-06
3.2282e+00 -2.4135e-06 2.8920e-06
3.2406e+00 1.7999e-06 2.8910e-06
3.2528e+00 8.7539e-06 2.9015e-06
3.2651e+00 3.8984e-06 2.9419e-06
3.2772e+00 3.7840e-06 2.9281e-06
3.2894e+00 1.3026e-05 3.0053e-06
3.3015e+00 1.2946e-05 3.0866e-06
3.3135e+00 3.6371e-06 3.1108e-06
3.3255e+00 4.5723e-06 3.1079e-06
3.3375e+00 6.3792e-06 3.1817e-06
3.3494e+00 3.9115e-06 3.0591e-06
3.3613e+00 4.8367e-06 3.1846e-06
3.3732e+00 6.0709e-06 3.2239e-06
3.3850e+00 5.4786e-06 3.1955e-06
3.3967e+00 7.6706e-06 3.1774e-06
3.4084e+00 1.0133e-05 3.2616e-06
3.4201e+00 4.9245e-06 3.1747e-06
3.4318e+00 5.7089e-06 3.2425e-06
3.4434e+00 4.8224e-06 3.2344e-06
3.4549e+00 3.2830e-06 3.3493e-06
3.4664e+00 8.0115e-06 3.3420e-06
3.4779e+00 1.1036e-05 3.3600e-06
3.4894e+00 9.3624e-06 3.3770e-06
3.5008e+00 9.6300e-06 3.3369e-06
3.5121e+00 2.1185e-05 3.4451e-06
3.5235e+00 2.4809e-05 3.5784e-06
3.5348e+00 1.7714e-05 3.6528e-06
3.5460e+00 1.6377e-05 3.5075e-06
3.5573e+00 1.5103e-05 3.7180e-06
3.5685e+00 2.1803e-05 3.6834e-06
3.5796e+00 2.3849e-05 3.5525e-06
3.5907e+00 2.3430e-05 3.7447e-06
3.6018e+00 2.6704e-05 3.7626e-06
3.6129e+00 2.7322e-05 4.0054e-06
3.6239e+00 4.4149e-05 3.8510e-06
3.6349e+00 4.3286e-05 3.9593e-06
3.6458e+00 4.3425e-05 3.9443e-06
3.6567e+00 5.7784e-05 4.0252e-06
3.6676e+00 6.7082e-05 4.1261e-06
3.6785e+00 7.4271e-05 4.1463e-06
3.6893e+00 7.2194e-05 4.0066e-06
3.7001e+00 7.1616e-05 4.2737e-06
3.7108e+00 7.5302e-05 4.3016e-06
3.7215e+00 8.3318e-05 4.3065e-06
3.7322e+00 7.6508e-05 4.4222e-06
3.7429e+00 8.7621e-05 4.4763e-06
3.7535e+00 1.0747e-04 4.5526e-06
3.7641e+00 1.1129e-04 4.6504e-06
3.7747e+00 1.0101e-04 4.6414e-06
3.7852e+00 9.7948e-05 4.6480e-06
3.7957e+00 1.1534e-04 4.6591e-06
3.8062e+00 1.4242e-04 4.8550e-06
3.8166e+00 1.5101e-04 5.0028e-06
3.8270e+00 1.6457e-04 5.0820e-06
3.8374e+00 1.4282e-04 5.0061e-06
3.8478e+00 1.1573e-04 4.9205e-06
3.8581e+00 1.3839e-04 5.0118e-06
3.8684e+00 1.4753e-04 5.1244e-06
3.8787e+00 1.4898e-04 5.0775e-06
3.8889e+00 1.6930e-04 5.3310e-06
3.8991e+00 1.7223e-04 5.3438e-06
3.9093e+00 1.7766e-04 5.4387e-06
3.9195e+00 1.9336e-04 5.5319e-06
3.9296e+00 2.0731e-04 5.6536e-06
3.9397e+00 2.1972e-04 5.7974e-06
3.9498e+00 2.1664e-04 5.7298e-06
3.9599e+00 2.3457e-04 5.7845e-06
3.9699e+00 2.3539e-04 6.0722e-06
3.9799e+00 2.3768e-04 6.1989e-06
3.9899e+00 2.5971e-04 6.1160e-06
3.9998e+00 2.6384e-04 6.2411e-06
4.0097e+00 2.7250e-04 6.1993e-06
4.0196e+00 2.8414e-04 6.2289e-06
4.0295e+00 2.8800e-04 6.4777e-06
4.0394e+00 3.0056e-04 6.6135e-06
4.0492e+00 3.1392e-04 6.5935e-06
4.0590e+00 3.4691e-04 6.7884e-06
4.0688e+00 3.4937e-04 6.7618e-06
4.0785e+00 3.4729e-04 6.9438e-06
4.0882e+00 3.6784e-04 7.0946e-06
4.0979e+00 3.7342e-04 7.2638e-06
4.1076e+00 3.4802e-04 6.9863e-06
4.1173e+00 3.5323e-04 7.0336e-06
4.1269e+00 3.8667e-04 7.2051e-06
4.1365e+00 3.8708e-04 7.2457e-06
4.1461e+00 3.5768e-04 7.2465e-06
4.1556e+00 3.5346e-04 7.0574e-06
4.1652e+00 3.9102e-04 7.3733e-06
4.1747e+00 3.9544e-04 7.4806e-06
4.1842e+00 3.5157e-04 7.2811e-06
4.1936e+00 3.2785e-04 7.2128e-06
4.2031e+00 3.4624e-04 7.6406e-06
4.2125e+00 3.2428e-04 7.4326e-06
4.2219e+00 2.7330e-04 7.1409e-06
4.2313e+00 2.7547e-04 7.1142e-06
4.2406e+00 2.9300e-04 7.2568e-06
4.2499e+00 2.9584e-04 7.3785e-06
4.2593e+00 2.9854e-04 7.1995e-06
4.2686e+00 2.8573e-04 7.4801e-06
4.2778e+00 3.0049e-04 7.3966e-06
4.2871e+00 3.2953e-04 7.6343e-06
4.2963e+00 3.0782e-04 7.4750e-06
4.3055e+00 2.7975e-04 7.3369e-06
4.3147e+00 2.9996e-04 7.3356e-06
4.3238e+00 3.4005e-04 7.7889e-06
4.3330e+00 3.2217e-04 7.6007e-06
4.3421e+00 2.8390e-04 7.4406e-06
4.3512e+00 3.1658e-04 7.7758e-06
4.3603e+00 3.3380e-04 7.9754e-06
4.3694e+00 3.7837e-04 8.1715e-06
4.3784e+00 3.6161e-04 8.0999e-06
4.3874e+00 3.1337e-04 7.8537e-06
4.3964e+00 3.0881e-04 8.2146e-06
4.4054e+00 3.6529e-04 8.2784e-06
4.4144e+00 3.9789e-04 8.4189e-06
4.4233e+00 3.0728e-04 7.9848e-06
4.4322e+00 2.6920e-04 7.7485e-06
4.4411e+00 2.9123e-04 8.0571e-06
4.4500e+00 2.9830e-04 8.1533e-06
4.4589e+00 2.9609e-04 8.1356e-06
4.4677e+00 2.7343e-04 7.9195e-06
4.4766e+00 2.4582e-04 7.9729e-06
4.4854e+00 2.5747e-04 8.3973e-06
4.4942e+00 2.4526e-04 8.0217e-06
4.5030e+00 2.4633e-04 8.0991e-06
4.5117e+00 2.3131e-04 8.3635e-06
4.5204e+00 1.9904e-04 8.0286e-06
4.5292e+00 1.9490e-04 7.8253e-06
4.5379e+00 1.9665e-04 7.9995e-06
4.5465e+00 1.9978e-04 8.0759e-06
4.5552e+00 1.8771e-04 8.2330e-06
4.5639e+00 1.8859e-04 8.1268e-06
4.5725e+00 1.7924e-04 7.9669e-06
4.5811e+00 1.9903e-04 8.2040e-06
4.5897e+00 1.9891e-04 8.2668e-06
4.5983e+00 2.0850e-04 8.1993e-06
4.6068e+00 2.0563e-04 8.3293e-06
4.6154e+00 1.8947e-04 8.5648e-06
4.6239e+00 1.7521e-04 8.4717e-06
4.6324e+00 2.1567e-04 8.6124e-06
4.6409e+00 2.3843e-04 9.1932e-06
4.6494e+00 2.2084e-04 9.0634e-06
4.6578e+00 2.5548e-04 8.9541e-06
4.6663e+00 2.7183e-04 9.1147e-06
4.6747e+00 2.3210e-04 8.8687e-06
4.6831e+00 2.4869e-04 9.0375e-06
4.6915e+00 2.5368e-04 9.0766e-06
4.6999e+00 2.2775e-04 9.0360e-06
4.7083e+00 2.1307e-04 8.9190e-06
4.7166e+00 2.0997e-04 8.9166e-06
4.7249e+00 1.9538e-04 8.7247e-06
4.7332e+00 2.0886e-04 8.8894e-06
4.7415e+00 2.2569e-04 9.3816e-06
4.7498e+00 2.4427e-04 9.6092e-06
4.7581e+00 2.3218e-04 9.5060e-06
4.7663e+00 2.0758e-04 9.1941e-06
4.7746e+00 1.7007e-04 9.1625e-06
4.7828e+00 1.5397e-04 9.1088e-06
4.7910e+00 1.9345e-04 9.2717e-06
4.7992e+00 2.3374e-04 9.8023e-06
4.8074e+00 2.0887e-04 9.5895e-06
4.8155e+00 2.1687e-04 9.6519e-06
4.8237e+00 2.1887e-04 9.7172e-06
4.8318e+00 1.9489e-04 9.8457e-06
4.8399e+00 1.7665e-04 9.6164e-06
4.8480e+00 2.1247e-04 9.9109e-06
4.8561e+00 2.4052e-04 1.0151e-05
4.8641e+00 2.6287e-04 1.0162e-05
4.8722e+00 2.4701e-04 1.0074e-05
4.8802e+00 2.2489e-04 1.0064e-05
4.8883e+00 2.1973e-04 1.0284e-05
4.8963e+00 2.0986e-04 1.0285e-05
4.9043e+00 2.2686e-04 1.0328e-05
4.9123e+00 2.6459e-04 1.0314e-05
4.9202e+00 2.6626e-04 1.0522e-05
4.9282e+00 2.3580e-04 1.0444e-05
4.9361e+00 2.1779e-04 1.0376e-05
4.9440e+00 1.9528e-04 1.0257e-05
4.9520e+00 1.5282e-04 1.0006e-05
4.9599e+00 1.7840e-04 1.0217e-05
4.9677e+00 2.3541e-04 1.0699e-05
4.9756e+00 2.5674e-04 1.0734e-05
4.9835e+00 2.5988e-04 1.1146e-05
4.9913e+00 2.6288e-04 1.0783e-05
4.9991e+00 2.6509e-04 1.0848e-05
5.0070e+00 2.2908e-04 1.1015e-05
5.0148e+00 1.4640e-04 1.0590e-05
5.0225e+00 1.3468e-04 1.0846e-05
5.0303e+00 2.2109e-04 1.1346e-05
5.0381e+00 2.4228e-04 1.1673e-05
5.0458e+00 2.4248e-04 1.1243e-05
5.0536e+00 2.6974e-04 1.1476e-05
5.0613e+00 2.7002e-04 1.1888e-05
5.0690e+00 2.5464e-04 1.1643e-05
5.0767e+00 1.6168e-04 1.2126e-05
5.0844e+00 1.6593e-04 1.1524e-05
5.0921e+00 2.1726e-04 1.1692e-05
5.0997e+00 2.3053e-04 1.1743e-05
5.1074e+00 1.9369e-04 1.1658e-05
5.1150e+00 2.2731e-04 1.2076e-05
